Process ID: [2339268] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-7b
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./sft2/sinstruct_sharegpt
    save_dir: ./fact/sinstruct_sharegpt
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2339268] | Loading data from ./sft2/sinstruct_sharegpt/Bio-Medical.json | Total 200
Process ID: [2339268] | Loading exist data from ./fact/sinstruct_sharegpt/Bio-Medical.json | Total 0
   0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2339268] | Model: llama-7b | File: Bio-Medical | Saving 0 items to ./fact/sinstruct_sharegpt/Bio-Medical.json
   0%|▎                                                              | 1/200 [00:09<32:33,  9.81s/it]   1%|▋                                                              | 2/200 [00:17<28:46,  8.72s/it]Process ID: [2339268] | Model: llama-7b | File: Bio-Medical | Saving 2 items to ./fact/sinstruct_sharegpt/Bio-Medical.json
 18%|██████████▊                                                   | 35/200 [04:52<20:31,  7.46s/it] 18%|███████████▏                                                  | 36/200 [05:00<20:09,  7.37s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 36 items to ./fact/sinstruct_sharegpt/Science.json
 18%|███████████▍                                                  | 37/200 [05:01<14:46,  5.44s/it] 19%|███████████▊                                                  | 38/200 [05:10<17:31,  6.49s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 38 items to ./fact/sinstruct_sharegpt/Science.json
 20%|████████████                                                  | 39/200 [05:20<20:30,  7.64s/it] 20%|████████████▍                                                 | 40/200 [05:27<19:43,  7.39s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 40 items to ./fact/sinstruct_sharegpt/Science.json
 20%|████████████▋                                                 | 41/200 [05:33<18:59,  7.17s/it] 21%|█████████████                                                 | 42/200 [05:39<18:02,  6.85s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 42 items to ./fact/sinstruct_sharegpt/Science.json
 22%|█████████████▎                                                | 43/200 [05:48<19:19,  7.38s/it] 22%|█████████████▋                                                | 44/200 [05:54<18:14,  7.01s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 44 items to ./fact/sinstruct_sharegpt/Science.json
 22%|█████████████▉                                                | 45/200 [06:09<23:54,  9.25s/it] 23%|██████████████▎                                               | 46/200 [06:15<21:22,  8.33s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 46 items to ./fact/sinstruct_sharegpt/Science.json
 24%|██████████████▌                                               | 47/200 [06:21<19:12,  7.53s/it] 24%|██████████████▉                                               | 48/200 [06:27<17:59,  7.10s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 48 items to ./fact/sinstruct_sharegpt/Science.json
 24%|███████████████▏                                              | 49/200 [06:32<16:29,  6.55s/it] 25%|███████████████▌                                              | 50/200 [06:40<17:47,  7.12s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 50 items to ./fact/sinstruct_sharegpt/Science.json
 26%|███████████████▊                                              | 51/200 [06:49<18:59,  7.64s/it] 26%|████████████████                                              | 52/200 [06:57<19:18,  7.83s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 52 items to ./fact/sinstruct_sharegpt/Science.json
 26%|████████████████▍                                             | 53/200 [07:03<17:50,  7.28s/it] 27%|████████████████▋                                             | 54/200 [07:11<17:47,  7.31s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 54 items to ./fact/sinstruct_sharegpt/Science.json
 28%|█████████████████                                             | 55/200 [07:19<18:28,  7.65s/it] 28%|█████████████████▎                                            | 56/200 [07:27<18:38,  7.77s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 56 items to ./fact/sinstruct_sharegpt/Science.json
 28%|█████████████████▋                                            | 57/200 [07:33<17:18,  7.26s/it] 29%|█████████████████▉                                            | 58/200 [07:42<18:20,  7.75s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 58 items to ./fact/sinstruct_sharegpt/Science.json
 30%|██████████████████▎                                           | 59/200 [07:49<17:28,  7.43s/it] 30%|██████████████████▌                                           | 60/200 [07:57<17:51,  7.66s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 60 items to ./fact/sinstruct_sharegpt/Science.json
 30%|██████████████████▉                                           | 61/200 [08:04<17:24,  7.52s/it] 31%|███████████████████▏                                          | 62/200 [08:05<12:48,  5.57s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 62 items to ./fact/sinstruct_sharegpt/Science.json
 32%|███████████████████▌                                          | 63/200 [08:11<13:05,  5.73s/it] 32%|███████████████████▊                                          | 64/200 [08:18<13:11,  5.82s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 64 items to ./fact/sinstruct_sharegpt/Science.json
 32%|████████████████████▏                                         | 65/200 [08:23<13:02,  5.80s/it] 33%|████████████████████▍                                         | 66/200 [08:31<14:19,  6.41s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 66 items to ./fact/sinstruct_sharegpt/Science.json
 34%|████████████████████▊                                         | 67/200 [08:40<15:56,  7.19s/it] 34%|█████████████████████                                         | 68/200 [08:48<16:13,  7.37s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 68 items to ./fact/sinstruct_sharegpt/Science.json
 34%|█████████████████████▍                                        | 69/200 [08:54<15:11,  6.96s/it] 35%|█████████████████████▋                                        | 70/200 [09:01<15:10,  7.01s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 70 items to ./fact/sinstruct_sharegpt/Science.json
 36%|██████████████████████                                        | 71/200 [09:10<16:03,  7.47s/it] 36%|██████████████████████▎                                       | 72/200 [09:18<16:44,  7.85s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 72 items to ./fact/sinstruct_sharegpt/Science.json
 36%|██████████████████████▋                                       | 73/200 [09:28<17:48,  8.41s/it] 37%|██████████████████████▉                                       | 74/200 [09:41<20:42,  9.86s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 74 items to ./fact/sinstruct_sharegpt/Science.json
 38%|███████████████████████▎                                      | 75/200 [09:51<20:12,  9.70s/it] 38%|███████████████████████▌                                      | 76/200 [09:57<18:18,  8.86s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 76 items to ./fact/sinstruct_sharegpt/Science.json
 38%|███████████████████████▊                                      | 77/200 [10:07<18:32,  9.05s/it] 39%|████████████████████████▏                                     | 78/200 [10:16<18:39,  9.17s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 78 items to ./fact/sinstruct_sharegpt/Science.json
 40%|████████████████████████▍                                     | 79/200 [10:27<19:28,  9.66s/it] 40%|████████████████████████▊                                     | 80/200 [10:53<29:10, 14.59s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 80 items to ./fact/sinstruct_sharegpt/Science.json
 40%|█████████████████████████                                     | 81/200 [11:02<25:35, 12.90s/it] 41%|█████████████████████████▍                                    | 82/200 [11:10<22:01, 11.20s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 82 items to ./fact/sinstruct_sharegpt/Science.json
 42%|█████████████████████████▋                                    | 83/200 [11:22<22:47, 11.69s/it] 42%|██████████████████████████                                    | 84/200 [11:32<21:27, 11.10s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 84 items to ./fact/sinstruct_sharegpt/Science.json
 42%|██████████████████████████▎                                   | 85/200 [11:42<20:38, 10.77s/it] 43%|██████████████████████████▋                                   | 86/200 [11:54<21:16, 11.20s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 86 items to ./fact/sinstruct_sharegpt/Science.json
 44%|██████████████████████████▉                                   | 87/200 [12:07<22:01, 11.70s/it] 44%|███████████████████████████▎                                  | 88/200 [12:17<20:51, 11.18s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 88 items to ./fact/sinstruct_sharegpt/Science.json
 44%|███████████████████████████▌                                  | 89/200 [12:23<17:57,  9.71s/it] 45%|███████████████████████████▉                                  | 90/200 [12:30<16:03,  8.76s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 90 items to ./fact/sinstruct_sharegpt/Science.json
 46%|████████████████████████████▏                                 | 91/200 [12:36<14:17,  7.86s/it] 46%|████████████████████████████▌                                 | 92/200 [12:44<14:35,  8.10s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 92 items to ./fact/sinstruct_sharegpt/Science.json
 46%|████████████████████████████▊                                 | 93/200 [12:51<13:35,  7.62s/it] 47%|█████████████████████████████▏                                | 94/200 [12:54<11:17,  6.40s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 94 items to ./fact/sinstruct_sharegpt/Science.json
 48%|█████████████████████████████▍                                | 95/200 [13:06<13:51,  7.92s/it] 48%|█████████████████████████████▊                                | 96/200 [13:14<14:03,  8.11s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 96 items to ./fact/sinstruct_sharegpt/Science.json
 48%|██████████████████████████████                                | 97/200 [13:21<13:20,  7.77s/it] 49%|██████████████████████████████▍                               | 98/200 [13:38<17:30, 10.30s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 98 items to ./fact/sinstruct_sharegpt/Science.json
 50%|██████████████████████████████▋                               | 99/200 [13:43<14:58,  8.89s/it] 50%|██████████████████████████████▌                              | 100/200 [13:53<15:28,  9.28s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 100 items to ./fact/sinstruct_sharegpt/Science.json
 50%|██████████████████████████████▊                              | 101/200 [14:02<15:08,  9.18s/it] 51%|███████████████████████████████                              | 102/200 [14:13<15:47,  9.67s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 102 items to ./fact/sinstruct_sharegpt/Science.json
 52%|███████████████████████████████▍                             | 103/200 [14:18<13:09,  8.13s/it] 52%|███████████████████████████████▋                             | 104/200 [14:30<14:59,  9.37s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 104 items to ./fact/sinstruct_sharegpt/Science.json
 52%|████████████████████████████████                             | 105/200 [14:38<14:24,  9.10s/it] 53%|████████████████████████████████▎                            | 106/200 [14:56<18:15, 11.65s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 106 items to ./fact/sinstruct_sharegpt/Science.json
 54%|████████████████████████████████▋                            | 107/200 [15:08<18:01, 11.63s/it] 54%|████████████████████████████████▉                            | 108/200 [15:15<15:44, 10.27s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 108 items to ./fact/sinstruct_sharegpt/Science.json
 55%|█████████████████████████████████▏                           | 109/200 [15:26<15:52, 10.46s/it] 55%|█████████████████████████████████▌                           | 110/200 [15:33<14:06,  9.41s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 110 items to ./fact/sinstruct_sharegpt/Science.json
 56%|█████████████████████████████████▊                           | 111/200 [15:40<13:06,  8.83s/it] 56%|██████████████████████████████████▏                          | 112/200 [15:48<12:46,  8.71s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 112 items to ./fact/sinstruct_sharegpt/Science.json
 56%|██████████████████████████████████▍                          | 113/200 [15:53<10:56,  7.55s/it] 57%|██████████████████████████████████▊                          | 114/200 [16:02<11:20,  7.91s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 114 items to ./fact/sinstruct_sharegpt/Science.json
 57%|███████████████████████████████████                          | 115/200 [16:11<11:36,  8.19s/it] 58%|███████████████████████████████████▍                         | 116/200 [16:18<10:57,  7.82s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 116 items to ./fact/sinstruct_sharegpt/Science.json
 58%|███████████████████████████████████▋                         | 117/200 [16:25<10:37,  7.68s/it] 59%|███████████████████████████████████▉                         | 118/200 [16:32<10:10,  7.45s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 118 items to ./fact/sinstruct_sharegpt/Science.json
 60%|████████████████████████████████████▎                        | 119/200 [16:41<10:40,  7.91s/it] 60%|████████████████████████████████████▌                        | 120/200 [16:50<10:57,  8.22s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 120 items to ./fact/sinstruct_sharegpt/Science.json
 60%|████████████████████████████████████▉                        | 121/200 [16:59<11:12,  8.51s/it] 61%|█████████████████████████████████████▏                       | 122/200 [17:08<11:06,  8.55s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 122 items to ./fact/sinstruct_sharegpt/Science.json
 62%|█████████████████████████████████████▌                       | 123/200 [17:21<12:48,  9.99s/it] 62%|█████████████████████████████████████▊                       | 124/200 [17:30<12:10,  9.61s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 124 items to ./fact/sinstruct_sharegpt/Science.json
 62%|██████████████████████████████████████▏                      | 125/200 [17:38<11:26,  9.16s/it] 63%|██████████████████████████████████████▍                      | 126/200 [17:46<10:56,  8.87s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 126 items to ./fact/sinstruct_sharegpt/Science.json
 64%|██████████████████████████████████████▋                      | 127/200 [17:56<11:01,  9.06s/it] 64%|███████████████████████████████████████                      | 128/200 [18:03<10:14,  8.53s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 128 items to ./fact/sinstruct_sharegpt/Science.json
 64%|███████████████████████████████████████▎                     | 129/200 [18:11<09:59,  8.44s/it] 65%|███████████████████████████████████████▋                     | 130/200 [18:22<10:42,  9.18s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 130 items to ./fact/sinstruct_sharegpt/Science.json
 66%|███████████████████████████████████████▉                     | 131/200 [18:33<11:10,  9.72s/it] 66%|████████████████████████████████████████▎                    | 132/200 [18:34<08:01,  7.09s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 132 items to ./fact/sinstruct_sharegpt/Science.json
 66%|████████████████████████████████████████▌                    | 133/200 [18:47<09:43,  8.70s/it] 67%|████████████████████████████████████████▊                    | 134/200 [18:56<09:42,  8.82s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 134 items to ./fact/sinstruct_sharegpt/Science.json
 68%|█████████████████████████████████████████▏                   | 135/200 [19:03<08:56,  8.26s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [19:09<08:09,  7.65s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 136 items to ./fact/sinstruct_sharegpt/Science.json
 68%|█████████████████████████████████████████▊                   | 137/200 [19:16<07:43,  7.36s/it] 69%|██████████████████████████████████████████                   | 138/200 [19:22<07:22,  7.13s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 138 items to ./fact/sinstruct_sharegpt/Science.json
 70%|██████████████████████████████████████████▍                  | 139/200 [19:47<12:36, 12.40s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [19:56<11:24, 11.41s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 140 items to ./fact/sinstruct_sharegpt/Science.json
 70%|███████████████████████████████████████████                  | 141/200 [20:03<10:03, 10.23s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [20:11<09:00,  9.32s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 142 items to ./fact/sinstruct_sharegpt/Science.json
 72%|███████████████████████████████████████████▌                 | 143/200 [20:20<08:53,  9.37s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [20:35<10:12, 10.94s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 144 items to ./fact/sinstruct_sharegpt/Science.json
 72%|████████████████████████████████████████████▏                | 145/200 [20:42<09:00,  9.83s/it] 73%|████████████████████████████████████████████▌                | 146/200 [20:52<08:48,  9.79s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 146 items to ./fact/sinstruct_sharegpt/Science.json
 74%|████████████████████████████████████████████▊                | 147/200 [21:08<10:20, 11.71s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [21:17<09:36, 11.08s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 148 items to ./fact/sinstruct_sharegpt/Science.json
 74%|█████████████████████████████████████████████▍               | 149/200 [21:22<07:48,  9.19s/it] 75%|█████████████████████████████████████████████▊               | 150/200 [21:27<06:29,  7.79s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 150 items to ./fact/sinstruct_sharegpt/Science.json
 76%|██████████████████████████████████████████████               | 151/200 [21:32<05:46,  7.07s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [21:41<06:07,  7.67s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 152 items to ./fact/sinstruct_sharegpt/Science.json
 76%|██████████████████████████████████████████████▋              | 153/200 [21:50<06:11,  7.91s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [22:01<06:57,  9.07s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 154 items to ./fact/sinstruct_sharegpt/Science.json
 78%|███████████████████████████████████████████████▎             | 155/200 [22:08<06:08,  8.20s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [22:15<05:46,  7.87s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 156 items to ./fact/sinstruct_sharegpt/Science.json
 78%|███████████████████████████████████████████████▉             | 157/200 [22:21<05:20,  7.45s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [22:30<05:31,  7.89s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 158 items to ./fact/sinstruct_sharegpt/Science.json
 80%|████████████████████████████████████████████████▍            | 159/200 [22:38<05:18,  7.78s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [22:49<05:54,  8.87s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 160 items to ./fact/sinstruct_sharegpt/Science.json
 80%|█████████████████████████████████████████████████            | 161/200 [23:03<06:42, 10.32s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [23:12<06:20, 10.02s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 162 items to ./fact/sinstruct_sharegpt/Science.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [23:17<05:18,  8.60s/it] 82%|██████████████████████████████████████████████████           | 164/200 [23:26<05:04,  8.47s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 164 items to ./fact/sinstruct_sharegpt/Science.json
 82%|██████████████████████████████████████████████████▎          | 165/200 [23:39<05:47,  9.94s/it] 83%|██████████████████████████████████████████████████▋          | 166/200 [23:47<05:21,  9.45s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 166 items to ./fact/sinstruct_sharegpt/Science.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [23:54<04:46,  8.69s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [24:01<04:20,  8.14s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 168 items to ./fact/sinstruct_sharegpt/Science.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [24:07<03:48,  7.37s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [24:16<04:03,  8.11s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 170 items to ./fact/sinstruct_sharegpt/Science.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [24:24<03:49,  7.91s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [24:30<03:29,  7.48s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 172 items to ./fact/sinstruct_sharegpt/Science.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [24:36<03:08,  7.00s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [24:44<03:09,  7.29s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 174 items to ./fact/sinstruct_sharegpt/Science.json
 88%|█████████████████████████████████████████████████████▍       | 175/200 [24:55<03:25,  8.23s/it] 88%|█████████████████████████████████████████████████████▋       | 176/200 [25:00<03:00,  7.53s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 176 items to ./fact/sinstruct_sharegpt/Science.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [25:10<03:08,  8.17s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [25:24<03:39,  9.99s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 178 items to ./fact/sinstruct_sharegpt/Science.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [25:32<03:13,  9.22s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [25:40<02:57,  8.90s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 180 items to ./fact/sinstruct_sharegpt/Science.json
 90%|███████████████████████████████████████████████████████▏     | 181/200 [25:50<02:56,  9.27s/it] 91%|███████████████████████████████████████████████████████▌     | 182/200 [26:01<02:57,  9.86s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 182 items to ./fact/sinstruct_sharegpt/Science.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [26:18<03:22, 11.92s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [26:24<02:43, 10.20s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 184 items to ./fact/sinstruct_sharegpt/Science.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [26:35<02:37, 10.52s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [26:42<02:08,  9.20s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 186 items to ./fact/sinstruct_sharegpt/Science.json
 94%|█████████████████████████████████████████████████████████    | 187/200 [26:48<01:48,  8.31s/it] 94%|█████████████████████████████████████████████████████████▎   | 188/200 [26:55<01:35,  7.94s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 188 items to ./fact/sinstruct_sharegpt/Science.json
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [27:08<01:44,  9.53s/it] 95%|█████████████████████████████████████████████████████████▉   | 190/200 [27:14<01:23,  8.37s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 190 items to ./fact/sinstruct_sharegpt/Science.json
 96%|██████████████████████████████████████████████████████████▎  | 191/200 [27:23<01:17,  8.62s/it] 96%|██████████████████████████████████████████████████████████▌  | 192/200 [27:33<01:12,  9.04s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 192 items to ./fact/sinstruct_sharegpt/Science.json
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [27:48<01:14, 10.71s/it] 97%|███████████████████████████████████████████████████████████▏ | 194/200 [27:56<00:59,  9.90s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 194 items to ./fact/sinstruct_sharegpt/Science.json
 98%|███████████████████████████████████████████████████████████▍ | 195/200 [28:05<00:49,  9.83s/it] 98%|███████████████████████████████████████████████████████████▊ | 196/200 [28:17<00:41, 10.36s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 196 items to ./fact/sinstruct_sharegpt/Science.json
 98%|████████████████████████████████████████████████████████████ | 197/200 [28:31<00:34, 11.42s/it] 99%|████████████████████████████████████████████████████████████▍| 198/200 [28:41<00:22, 11.12s/it]Process ID: [2339268] | Model: llama-7b | File: Science | Saving 198 items to ./fact/sinstruct_sharegpt/Science.json
100%|████████████████████████████████████████████████████████████▋| 199/200 [28:50<00:10, 10.54s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [29:08<00:00, 12.55s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [29:08<00:00,  8.74s/it]
Process ID: [2339268] | Model: llama-7b | File: Science | Saving 200 items to ./fact/sinstruct_sharegpt/Science.json
Process ID: [2339268] | Exit
Process ID: [2339268] | Loading data from ./sft2/sinstruct_sharegpt/Education.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 0 items to ./fact/sinstruct_sharegpt/Education.json
  0%|▎                                                              | 1/200 [00:03<12:33,  3.79s/it]  1%|▋                                                              | 2/200 [00:04<06:55,  2.10s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 2 items to ./fact/sinstruct_sharegpt/Education.json
  2%|▉                                                              | 3/200 [00:05<05:03,  1.54s/it]  2%|█▎                                                             | 4/200 [00:08<07:21,  2.25s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 4 items to ./fact/sinstruct_sharegpt/Education.json
  2%|█▌                                                             | 5/200 [00:09<05:29,  1.69s/it]  3%|█▉                                                             | 6/200 [00:13<08:16,  2.56s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 6 items to ./fact/sinstruct_sharegpt/Education.json
  4%|██▏                                                            | 7/200 [00:18<10:41,  3.32s/it]  4%|██▌                                                            | 8/200 [00:25<14:20,  4.48s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 8 items to ./fact/sinstruct_sharegpt/Education.json
  4%|██▊                                                            | 9/200 [00:26<10:37,  3.34s/it]  5%|███                                                           | 10/200 [00:27<08:30,  2.69s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 10 items to ./fact/sinstruct_sharegpt/Education.json
  6%|███▍                                                          | 11/200 [00:34<12:04,  3.83s/it]  6%|███▋                                                          | 12/200 [00:36<11:00,  3.51s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 12 items to ./fact/sinstruct_sharegpt/Education.json
  6%|████                                                          | 13/200 [00:44<14:41,  4.71s/it]  7%|████▎                                                         | 14/200 [00:49<14:54,  4.81s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 14 items to ./fact/sinstruct_sharegpt/Education.json
  8%|████▋                                                         | 15/200 [00:52<13:24,  4.35s/it]  8%|████▉                                                         | 16/200 [01:00<16:26,  5.36s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 16 items to ./fact/sinstruct_sharegpt/Education.json
  8%|█████▎                                                        | 17/200 [01:01<12:08,  3.98s/it]  9%|█████▌                                                        | 18/200 [01:12<18:24,  6.07s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 18 items to ./fact/sinstruct_sharegpt/Education.json
 10%|█████▉                                                        | 19/200 [01:12<13:30,  4.48s/it] 10%|██████▏                                                       | 20/200 [01:13<10:07,  3.38s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 20 items to ./fact/sinstruct_sharegpt/Education.json
 10%|██████▌                                                       | 21/200 [01:14<07:50,  2.63s/it] 11%|██████▊                                                       | 22/200 [01:15<06:22,  2.15s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 22 items to ./fact/sinstruct_sharegpt/Education.json
 12%|███████▏                                                      | 23/200 [01:17<06:05,  2.06s/it] 12%|███████▍                                                      | 24/200 [01:19<05:46,  1.97s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 24 items to ./fact/sinstruct_sharegpt/Education.json
 12%|███████▊                                                      | 25/200 [01:21<06:02,  2.07s/it] 13%|████████                                                      | 26/200 [01:31<12:49,  4.42s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 26 items to ./fact/sinstruct_sharegpt/Education.json
 14%|████████▎                                                     | 27/200 [01:32<09:52,  3.43s/it] 14%|████████▋                                                     | 28/200 [01:34<08:48,  3.07s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 28 items to ./fact/sinstruct_sharegpt/Education.json
 14%|████████▉                                                     | 29/200 [01:35<06:46,  2.38s/it] 15%|█████████▎                                                    | 30/200 [01:36<05:19,  1.88s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 30 items to ./fact/sinstruct_sharegpt/Education.json
 16%|█████████▌                                                    | 31/200 [01:44<10:27,  3.71s/it] 16%|█████████▉                                                    | 32/200 [01:51<13:25,  4.80s/it]Process ID: [2339268] | Model: llama-7b | File: Education | Saving 32 items to ./fact/sinstruct_sharegpt/Education.json
