Process ID: [2339266] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-7b
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./sft2/sharegpt
    save_dir: ./fact/sharegpt
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2339266] | Loading data from ./sft2/sharegpt/Bio-Medical.json | Total 200
Process ID: [2339266] | Loading exist data from ./fact/sharegpt/Bio-Medical.json | Total 0
   0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 0 items to ./fact/sharegpt/Bio-Medical.json
   0%|▎                                                              | 1/200 [00:09<29:58,  9.04s/it]   1%|▋                                                              | 2/200 [00:22<38:17, 11.60s/it]Process ID: [2339266] | Model: llama-7b | File: Bio-Medical | Saving 2 items to ./fact/sharegpt/Bio-Medical.json
 76%|██████████████████████████████████████████████               | 151/200 [21:34<07:00,  8.58s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [21:41<06:40,  8.35s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 152 items to ./fact/sharegpt/Science.json
 76%|██████████████████████████████████████████████▋              | 153/200 [21:47<05:51,  7.48s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [21:57<06:25,  8.38s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 154 items to ./fact/sharegpt/Science.json
 78%|███████████████████████████████████████████████▎             | 155/200 [22:04<05:53,  7.85s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [22:14<06:19,  8.62s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 156 items to ./fact/sharegpt/Science.json
 78%|███████████████████████████████████████████████▉             | 157/200 [22:21<05:42,  7.97s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [22:30<05:50,  8.34s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 158 items to ./fact/sharegpt/Science.json
 80%|████████████████████████████████████████████████▍            | 159/200 [22:42<06:27,  9.44s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [22:53<06:32,  9.82s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 160 items to ./fact/sharegpt/Science.json
 80%|█████████████████████████████████████████████████            | 161/200 [23:02<06:13,  9.57s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [23:19<07:34, 11.96s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 162 items to ./fact/sharegpt/Science.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [23:26<06:23, 10.35s/it] 82%|██████████████████████████████████████████████████           | 164/200 [23:31<05:18,  8.86s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 164 items to ./fact/sharegpt/Science.json
 82%|██████████████████████████████████████████████████▎          | 165/200 [23:42<05:26,  9.33s/it] 83%|██████████████████████████████████████████████████▋          | 166/200 [23:48<04:43,  8.35s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 166 items to ./fact/sharegpt/Science.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [24:02<05:31, 10.04s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [24:09<04:52,  9.13s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 168 items to ./fact/sharegpt/Science.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [24:14<04:10,  8.09s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [24:19<03:35,  7.18s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 170 items to ./fact/sharegpt/Science.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [24:27<03:27,  7.15s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [24:32<03:07,  6.69s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 172 items to ./fact/sharegpt/Science.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [24:40<03:11,  7.10s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [24:52<03:44,  8.63s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 174 items to ./fact/sharegpt/Science.json
 88%|█████████████████████████████████████████████████████▍       | 175/200 [25:07<04:17, 10.28s/it] 88%|█████████████████████████████████████████████████████▋       | 176/200 [25:12<03:33,  8.89s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 176 items to ./fact/sharegpt/Science.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [25:21<03:26,  8.96s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [25:30<03:13,  8.78s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 178 items to ./fact/sharegpt/Science.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [25:36<02:50,  8.14s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [25:45<02:44,  8.20s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 180 items to ./fact/sharegpt/Science.json
 90%|███████████████████████████████████████████████████████▏     | 181/200 [25:53<02:36,  8.24s/it] 91%|███████████████████████████████████████████████████████▌     | 182/200 [26:00<02:19,  7.75s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 182 items to ./fact/sharegpt/Science.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [26:06<02:04,  7.34s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [26:11<01:47,  6.72s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 184 items to ./fact/sharegpt/Science.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [26:18<01:41,  6.79s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [26:29<01:50,  7.91s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 186 items to ./fact/sharegpt/Science.json
 94%|█████████████████████████████████████████████████████████    | 187/200 [26:39<01:51,  8.61s/it] 94%|█████████████████████████████████████████████████████████▎   | 188/200 [26:48<01:43,  8.60s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 188 items to ./fact/sharegpt/Science.json
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [26:57<01:38,  8.96s/it] 95%|█████████████████████████████████████████████████████████▉   | 190/200 [27:04<01:22,  8.21s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 190 items to ./fact/sharegpt/Science.json
 96%|██████████████████████████████████████████████████████████▎  | 191/200 [27:10<01:08,  7.61s/it] 96%|██████████████████████████████████████████████████████████▌  | 192/200 [27:18<01:02,  7.80s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 192 items to ./fact/sharegpt/Science.json
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [27:25<00:53,  7.59s/it] 97%|███████████████████████████████████████████████████████████▏ | 194/200 [27:34<00:46,  7.82s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 194 items to ./fact/sharegpt/Science.json
 98%|███████████████████████████████████████████████████████████▍ | 195/200 [27:46<00:45,  9.07s/it] 98%|███████████████████████████████████████████████████████████▊ | 196/200 [27:58<00:40, 10.03s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 196 items to ./fact/sharegpt/Science.json
 98%|████████████████████████████████████████████████████████████ | 197/200 [28:07<00:29,  9.84s/it] 99%|████████████████████████████████████████████████████████████▍| 198/200 [28:16<00:18,  9.42s/it]Process ID: [2339266] | Model: llama-7b | File: Science | Saving 198 items to ./fact/sharegpt/Science.json
100%|████████████████████████████████████████████████████████████▋| 199/200 [28:25<00:09,  9.36s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [28:32<00:00,  8.59s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [28:32<00:00,  8.56s/it]
Process ID: [2339266] | Model: llama-7b | File: Science | Saving 200 items to ./fact/sharegpt/Science.json
Process ID: [2339266] | Exit
Process ID: [2339266] | Loading data from ./sft2/sharegpt/Education.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 0 items to ./fact/sharegpt/Education.json
  0%|▎                                                              | 1/200 [00:05<18:43,  5.65s/it]  1%|▋                                                              | 2/200 [00:11<18:08,  5.50s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 2 items to ./fact/sharegpt/Education.json
  2%|▉                                                              | 3/200 [00:19<22:30,  6.86s/it]  2%|█▎                                                             | 4/200 [00:24<20:08,  6.17s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 4 items to ./fact/sharegpt/Education.json
  2%|█▌                                                             | 5/200 [00:28<17:19,  5.33s/it]  3%|█▉                                                             | 6/200 [00:29<12:39,  3.91s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 6 items to ./fact/sharegpt/Education.json
  4%|██▏                                                            | 7/200 [00:35<14:37,  4.55s/it]  4%|██▌                                                            | 8/200 [00:45<19:38,  6.14s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 8 items to ./fact/sharegpt/Education.json
  4%|██▊                                                            | 9/200 [00:53<21:53,  6.88s/it]  5%|███                                                           | 10/200 [00:54<16:20,  5.16s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 10 items to ./fact/sharegpt/Education.json
  6%|███▍                                                          | 11/200 [01:05<21:13,  6.74s/it]  6%|███▋                                                          | 12/200 [01:06<16:06,  5.14s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 12 items to ./fact/sharegpt/Education.json
  6%|████                                                          | 13/200 [01:14<18:32,  5.95s/it]  7%|████▎                                                         | 14/200 [01:20<18:13,  5.88s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 14 items to ./fact/sharegpt/Education.json
  8%|████▋                                                         | 15/200 [01:23<15:48,  5.13s/it]  8%|████▉                                                         | 16/200 [01:31<18:30,  6.04s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 16 items to ./fact/sharegpt/Education.json
  8%|█████▎                                                        | 17/200 [01:39<20:09,  6.61s/it]  9%|█████▌                                                        | 18/200 [01:48<21:40,  7.15s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 18 items to ./fact/sharegpt/Education.json
 10%|█████▉                                                        | 19/200 [01:48<15:47,  5.24s/it] 10%|██████▏                                                       | 20/200 [01:49<11:45,  3.92s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 20 items to ./fact/sharegpt/Education.json
 10%|██████▌                                                       | 21/200 [01:50<08:52,  2.98s/it] 11%|██████▊                                                       | 22/200 [01:51<07:12,  2.43s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 22 items to ./fact/sharegpt/Education.json
 12%|███████▏                                                      | 23/200 [01:57<10:30,  3.56s/it] 12%|███████▍                                                      | 24/200 [02:05<13:57,  4.76s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 24 items to ./fact/sharegpt/Education.json
 12%|███████▊                                                      | 25/200 [02:06<10:24,  3.57s/it] 13%|████████                                                      | 26/200 [02:15<15:17,  5.27s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 26 items to ./fact/sharegpt/Education.json
 14%|████████▎                                                     | 27/200 [02:16<11:17,  3.92s/it] 14%|████████▋                                                     | 28/200 [02:17<08:41,  3.03s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 28 items to ./fact/sharegpt/Education.json
 14%|████████▉                                                     | 29/200 [02:20<09:03,  3.18s/it] 15%|█████████▎                                                    | 30/200 [02:31<15:45,  5.56s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 30 items to ./fact/sharegpt/Education.json
 16%|█████████▌                                                    | 31/200 [02:43<20:58,  7.45s/it] 16%|█████████▉                                                    | 32/200 [02:48<18:47,  6.71s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 32 items to ./fact/sharegpt/Education.json
 16%|██████████▏                                                   | 33/200 [02:56<19:58,  7.18s/it] 17%|██████████▌                                                   | 34/200 [03:03<19:27,  7.04s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 34 items to ./fact/sharegpt/Education.json
 18%|██████████▊                                                   | 35/200 [03:10<19:15,  7.01s/it] 18%|███████████▏                                                  | 36/200 [03:11<14:07,  5.17s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 36 items to ./fact/sharegpt/Education.json
 18%|███████████▍                                                  | 37/200 [03:12<10:54,  4.02s/it] 19%|███████████▊                                                  | 38/200 [03:13<08:19,  3.08s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 38 items to ./fact/sharegpt/Education.json
 20%|████████████                                                  | 39/200 [03:21<12:17,  4.58s/it] 20%|████████████▍                                                 | 40/200 [03:22<09:20,  3.50s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 40 items to ./fact/sharegpt/Education.json
 20%|████████████▋                                                 | 41/200 [03:28<11:23,  4.30s/it] 21%|█████████████                                                 | 42/200 [03:33<11:57,  4.54s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 42 items to ./fact/sharegpt/Education.json
 22%|█████████████▎                                                | 43/200 [03:40<13:29,  5.15s/it] 22%|█████████████▋                                                | 44/200 [03:46<14:18,  5.50s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 44 items to ./fact/sharegpt/Education.json
 22%|█████████████▉                                                | 45/200 [03:48<11:15,  4.36s/it] 23%|██████████████▎                                               | 46/200 [03:51<10:09,  3.96s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 46 items to ./fact/sharegpt/Education.json
 24%|██████████████▌                                               | 47/200 [03:57<11:18,  4.43s/it] 24%|██████████████▉                                               | 48/200 [04:03<12:23,  4.89s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 48 items to ./fact/sharegpt/Education.json
 24%|███████████████▏                                              | 49/200 [04:05<10:46,  4.28s/it] 25%|███████████████▌                                              | 50/200 [04:12<12:25,  4.97s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 50 items to ./fact/sharegpt/Education.json
 26%|███████████████▊                                              | 51/200 [04:22<16:09,  6.50s/it] 26%|████████████████                                              | 52/200 [04:26<14:20,  5.82s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 52 items to ./fact/sharegpt/Education.json
 26%|████████████████▍                                             | 53/200 [04:32<13:51,  5.66s/it] 27%|████████████████▋                                             | 54/200 [04:37<13:51,  5.69s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 54 items to ./fact/sharegpt/Education.json
 28%|█████████████████                                             | 55/200 [04:50<18:50,  7.80s/it] 28%|█████████████████▎                                            | 56/200 [04:56<17:02,  7.10s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 56 items to ./fact/sharegpt/Education.json
 28%|█████████████████▋                                            | 57/200 [05:01<15:30,  6.51s/it] 29%|█████████████████▉                                            | 58/200 [05:01<11:20,  4.79s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 58 items to ./fact/sharegpt/Education.json
 30%|██████████████████▎                                           | 59/200 [05:02<08:29,  3.61s/it] 30%|██████████████████▌                                           | 60/200 [05:06<08:12,  3.52s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 60 items to ./fact/sharegpt/Education.json
 30%|██████████████████▉                                           | 61/200 [05:10<08:47,  3.80s/it] 31%|███████████████████▏                                          | 62/200 [05:11<06:36,  2.87s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 62 items to ./fact/sharegpt/Education.json
 32%|███████████████████▌                                          | 63/200 [05:15<07:46,  3.40s/it] 32%|███████████████████▊                                          | 64/200 [05:24<11:10,  4.93s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 64 items to ./fact/sharegpt/Education.json
 32%|████████████████████▏                                         | 65/200 [05:27<10:08,  4.51s/it] 33%|████████████████████▍                                         | 66/200 [05:32<10:15,  4.59s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 66 items to ./fact/sharegpt/Education.json
 34%|████████████████████▊                                         | 67/200 [05:40<12:07,  5.47s/it] 34%|█████████████████████                                         | 68/200 [05:46<12:33,  5.71s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 68 items to ./fact/sharegpt/Education.json
 34%|█████████████████████▍                                        | 69/200 [05:50<11:34,  5.30s/it] 35%|█████████████████████▋                                        | 70/200 [05:51<08:30,  3.93s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 70 items to ./fact/sharegpt/Education.json
 36%|██████████████████████                                        | 71/200 [05:52<06:23,  2.97s/it] 36%|██████████████████████▎                                       | 72/200 [06:10<16:15,  7.62s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 72 items to ./fact/sharegpt/Education.json
 36%|██████████████████████▋                                       | 73/200 [06:11<11:45,  5.55s/it] 37%|██████████████████████▉                                       | 74/200 [06:16<11:07,  5.30s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 74 items to ./fact/sharegpt/Education.json
 38%|███████████████████████▎                                      | 75/200 [06:21<10:48,  5.19s/it] 38%|███████████████████████▌                                      | 76/200 [06:21<07:58,  3.86s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 76 items to ./fact/sharegpt/Education.json
 38%|███████████████████████▊                                      | 77/200 [06:23<06:25,  3.13s/it] 39%|████████████████████████▏                                     | 78/200 [06:24<04:57,  2.44s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 78 items to ./fact/sharegpt/Education.json
 40%|████████████████████████▍                                     | 79/200 [06:29<06:36,  3.28s/it] 40%|████████████████████████▊                                     | 80/200 [06:31<06:09,  3.08s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 80 items to ./fact/sharegpt/Education.json
 40%|█████████████████████████                                     | 81/200 [06:32<04:47,  2.42s/it] 41%|█████████████████████████▍                                    | 82/200 [06:33<03:45,  1.91s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 82 items to ./fact/sharegpt/Education.json
 42%|█████████████████████████▋                                    | 83/200 [06:34<03:17,  1.69s/it] 42%|██████████████████████████                                    | 84/200 [06:35<02:47,  1.44s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 84 items to ./fact/sharegpt/Education.json
 42%|██████████████████████████▎                                   | 85/200 [06:36<02:38,  1.38s/it] 43%|██████████████████████████▋                                   | 86/200 [06:41<04:40,  2.46s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 86 items to ./fact/sharegpt/Education.json
 44%|██████████████████████████▉                                   | 87/200 [06:42<03:40,  1.95s/it] 44%|███████████████████████████▎                                  | 88/200 [06:47<05:02,  2.70s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 88 items to ./fact/sharegpt/Education.json
 44%|███████████████████████████▌                                  | 89/200 [06:47<03:51,  2.09s/it] 45%|███████████████████████████▉                                  | 90/200 [06:48<03:12,  1.75s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 90 items to ./fact/sharegpt/Education.json
 46%|████████████████████████████▏                                 | 91/200 [06:53<05:03,  2.78s/it] 46%|████████████████████████████▌                                 | 92/200 [06:58<06:07,  3.40s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 92 items to ./fact/sharegpt/Education.json
 46%|████████████████████████████▊                                 | 93/200 [07:02<06:22,  3.57s/it] 47%|█████████████████████████████▏                                | 94/200 [07:08<07:31,  4.26s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 94 items to ./fact/sharegpt/Education.json
 48%|█████████████████████████████▍                                | 95/200 [07:11<06:48,  3.89s/it] 48%|█████████████████████████████▊                                | 96/200 [07:15<06:44,  3.89s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 96 items to ./fact/sharegpt/Education.json
 48%|██████████████████████████████                                | 97/200 [07:20<07:11,  4.19s/it] 49%|██████████████████████████████▍                               | 98/200 [07:28<08:59,  5.29s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 98 items to ./fact/sharegpt/Education.json
 50%|██████████████████████████████▋                               | 99/200 [07:33<08:57,  5.32s/it] 50%|██████████████████████████████▌                              | 100/200 [07:43<11:11,  6.72s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 100 items to ./fact/sharegpt/Education.json
 50%|██████████████████████████████▊                              | 101/200 [07:49<10:49,  6.56s/it] 51%|███████████████████████████████                              | 102/200 [07:53<09:14,  5.66s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 102 items to ./fact/sharegpt/Education.json
 52%|███████████████████████████████▍                             | 103/200 [07:58<08:59,  5.56s/it] 52%|███████████████████████████████▋                             | 104/200 [07:59<06:32,  4.09s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 104 items to ./fact/sharegpt/Education.json
 52%|████████████████████████████████                             | 105/200 [08:05<07:26,  4.71s/it] 53%|████████████████████████████████▎                            | 106/200 [08:06<05:28,  3.49s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 106 items to ./fact/sharegpt/Education.json
 54%|████████████████████████████████▋                            | 107/200 [08:13<07:03,  4.55s/it] 54%|████████████████████████████████▉                            | 108/200 [08:18<07:24,  4.83s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 108 items to ./fact/sharegpt/Education.json
 55%|█████████████████████████████████▏                           | 109/200 [08:27<09:18,  6.13s/it] 55%|█████████████████████████████████▌                           | 110/200 [08:35<10:05,  6.72s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 110 items to ./fact/sharegpt/Education.json
 56%|█████████████████████████████████▊                           | 111/200 [08:43<10:23,  7.01s/it] 56%|██████████████████████████████████▏                          | 112/200 [08:48<09:28,  6.47s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 112 items to ./fact/sharegpt/Education.json
 56%|██████████████████████████████████▍                          | 113/200 [09:08<15:19, 10.57s/it] 57%|██████████████████████████████████▊                          | 114/200 [09:13<12:29,  8.72s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 114 items to ./fact/sharegpt/Education.json
 57%|███████████████████████████████████                          | 115/200 [09:18<10:59,  7.76s/it] 58%|███████████████████████████████████▍                         | 116/200 [09:22<09:11,  6.56s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 116 items to ./fact/sharegpt/Education.json
 58%|███████████████████████████████████▋                         | 117/200 [09:23<06:40,  4.83s/it] 59%|███████████████████████████████████▉                         | 118/200 [09:30<07:23,  5.40s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 118 items to ./fact/sharegpt/Education.json
 60%|████████████████████████████████████▎                        | 119/200 [09:36<07:43,  5.73s/it] 60%|████████████████████████████████████▌                        | 120/200 [09:42<07:47,  5.84s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 120 items to ./fact/sharegpt/Education.json
 60%|████████████████████████████████████▉                        | 121/200 [09:43<05:42,  4.34s/it] 61%|█████████████████████████████████████▏                       | 122/200 [09:44<04:15,  3.28s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 122 items to ./fact/sharegpt/Education.json
 62%|█████████████████████████████████████▌                       | 123/200 [09:52<06:06,  4.76s/it] 62%|█████████████████████████████████████▊                       | 124/200 [09:53<04:30,  3.55s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 124 items to ./fact/sharegpt/Education.json
 62%|██████████████████████████████████████▏                      | 125/200 [09:57<04:36,  3.69s/it] 63%|██████████████████████████████████████▍                      | 126/200 [09:57<03:25,  2.77s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 126 items to ./fact/sharegpt/Education.json
 64%|██████████████████████████████████████▋                      | 127/200 [10:05<05:02,  4.14s/it] 64%|███████████████████████████████████████                      | 128/200 [10:13<06:18,  5.26s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 128 items to ./fact/sharegpt/Education.json
 64%|███████████████████████████████████████▎                     | 129/200 [10:15<05:05,  4.31s/it] 65%|███████████████████████████████████████▋                     | 130/200 [10:20<05:12,  4.46s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 130 items to ./fact/sharegpt/Education.json
 66%|███████████████████████████████████████▉                     | 131/200 [10:20<03:50,  3.34s/it] 66%|████████████████████████████████████████▎                    | 132/200 [10:26<04:28,  3.95s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 132 items to ./fact/sharegpt/Education.json
 66%|████████████████████████████████████████▌                    | 133/200 [10:31<04:49,  4.32s/it] 67%|████████████████████████████████████████▊                    | 134/200 [10:37<05:25,  4.93s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 134 items to ./fact/sharegpt/Education.json
 68%|█████████████████████████████████████████▏                   | 135/200 [10:38<04:06,  3.79s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [10:49<06:19,  5.92s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 136 items to ./fact/sharegpt/Education.json
 68%|█████████████████████████████████████████▊                   | 137/200 [11:01<08:00,  7.62s/it] 69%|██████████████████████████████████████████                   | 138/200 [11:08<07:36,  7.36s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 138 items to ./fact/sharegpt/Education.json
 70%|██████████████████████████████████████████▍                  | 139/200 [11:09<05:31,  5.43s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [11:13<05:02,  5.05s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 140 items to ./fact/sharegpt/Education.json
 70%|███████████████████████████████████████████                  | 141/200 [11:19<05:16,  5.36s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [11:23<04:56,  5.12s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 142 items to ./fact/sharegpt/Education.json
 72%|███████████████████████████████████████████▌                 | 143/200 [11:24<03:35,  3.79s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [11:29<03:46,  4.04s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 144 items to ./fact/sharegpt/Education.json
 72%|████████████████████████████████████████████▏                | 145/200 [11:37<04:50,  5.28s/it] 73%|████████████████████████████████████████████▌                | 146/200 [11:38<03:37,  4.02s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 146 items to ./fact/sharegpt/Education.json
 74%|████████████████████████████████████████████▊                | 147/200 [11:44<04:03,  4.59s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [11:45<02:59,  3.46s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 148 items to ./fact/sharegpt/Education.json
 74%|█████████████████████████████████████████████▍               | 149/200 [11:52<03:50,  4.53s/it] 75%|█████████████████████████████████████████████▊               | 150/200 [12:01<05:00,  6.01s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 150 items to ./fact/sharegpt/Education.json
 76%|██████████████████████████████████████████████               | 151/200 [12:02<03:43,  4.57s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [12:05<03:05,  3.86s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 152 items to ./fact/sharegpt/Education.json
 76%|██████████████████████████████████████████████▋              | 153/200 [12:08<03:02,  3.88s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [12:09<02:16,  2.97s/it]Process ID: [2339266] | Model: llama-7b | File: Education | Saving 154 items to ./fact/sharegpt/Education.json
