Process ID: [2461870] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/
    save_dir: ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/determine_truthfulness_ins.txt
Process ID: [2461870] | Loading data from ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:05<19:34,  5.90s/it]  1%|▋                                                              | 2/200 [00:10<16:56,  5.13s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 58%|███████████████████████████████████▋                         | 117/200 [17:08<13:34,  9.81s/it] 59%|███████████████████████████████████▉                         | 118/200 [17:35<20:27, 14.97s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 118 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 60%|████████████████████████████████████▎                        | 119/200 [17:38<15:02, 11.14s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 120 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 60%|████████████████████████████████████▉                        | 121/200 [17:44<09:59,  7.59s/it] 61%|█████████████████████████████████████▏                       | 122/200 [17:48<08:41,  6.68s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 122 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 62%|█████████████████████████████████████▌                       | 123/200 [17:53<07:56,  6.19s/it] 62%|█████████████████████████████████████▊                       | 124/200 [17:55<06:25,  5.07s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 124 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 62%|██████████████████████████████████████▏                      | 125/200 [18:03<07:09,  5.73s/it] 63%|██████████████████████████████████████▍                      | 126/200 [18:21<11:36,  9.42s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 126 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 64%|██████████████████████████████████████▋                      | 127/200 [18:23<08:53,  7.30s/it] 64%|███████████████████████████████████████                      | 128/200 [18:42<12:41, 10.58s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 128 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 64%|███████████████████████████████████████▎                     | 129/200 [18:46<10:15,  8.67s/it] 65%|███████████████████████████████████████▋                     | 130/200 [18:48<07:45,  6.65s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 130 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 66%|███████████████████████████████████████▉                     | 131/200 [19:10<12:48, 11.14s/it] 66%|████████████████████████████████████████▎                    | 132/200 [19:26<14:28, 12.77s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 132 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 66%|████████████████████████████████████████▌                    | 133/200 [19:42<15:10, 13.59s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 134 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 68%|█████████████████████████████████████████▏                   | 135/200 [19:48<09:25,  8.70s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [20:01<10:29,  9.84s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 136 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 68%|█████████████████████████████████████████▊                   | 137/200 [20:19<12:27, 11.87s/it] 69%|██████████████████████████████████████████                   | 138/200 [20:30<12:02, 11.65s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 138 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 70%|██████████████████████████████████████████▍                  | 139/200 [20:35<10:03,  9.89s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [20:55<12:40, 12.68s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 140 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 70%|███████████████████████████████████████████                  | 141/200 [21:11<13:36, 13.83s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [21:13<09:52, 10.21s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 142 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 72%|███████████████████████████████████████████▌                 | 143/200 [21:15<07:21,  7.75s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [21:24<07:45,  8.32s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 144 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 72%|████████████████████████████████████████████▏                | 145/200 [21:31<07:11,  7.85s/it]Undetected judge: Additionally, it's worth noting that even if one could confirm the average returns with the latest data available as of my knowledge cutoff date in 2023, those figures are subject to change as new data becomes available and as market conditions evolve.
 73%|████████████████████████████████████████████▌                | 146/200 [21:41<07:31,  8.36s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 146 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 74%|████████████████████████████████████████████▊                | 147/200 [21:57<09:23, 10.63s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [22:10<10:03, 11.60s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 148 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 75%|█████████████████████████████████████████████▊               | 150/200 [22:12<05:35,  6.72s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 150 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 76%|██████████████████████████████████████████████               | 151/200 [22:18<05:12,  6.38s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [22:41<08:37, 10.78s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 152 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 76%|██████████████████████████████████████████████▋              | 153/200 [22:54<08:56, 11.42s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [23:21<12:00, 15.66s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 154 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 78%|███████████████████████████████████████████████▎             | 155/200 [23:46<13:49, 18.44s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [23:48<10:00, 13.65s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 156 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 78%|███████████████████████████████████████████████▉             | 157/200 [23:55<08:24, 11.72s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [24:02<07:11, 10.27s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 158 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 80%|████████████████████████████████████████████████▍            | 159/200 [24:05<05:28,  8.02s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [24:08<04:30,  6.75s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 160 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 80%|█████████████████████████████████████████████████            | 161/200 [24:13<03:57,  6.09s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [24:20<04:06,  6.49s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 162 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [24:42<06:49, 11.07s/it] 82%|██████████████████████████████████████████████████           | 164/200 [25:02<08:15, 13.75s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 164 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 83%|██████████████████████████████████████████████████▋          | 166/200 [25:17<06:09, 10.87s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 166 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [25:35<06:58, 12.68s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [25:41<05:47, 10.86s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 168 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [25:51<05:27, 10.57s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [26:03<05:31, 11.07s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 170 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [26:15<05:24, 11.20s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [26:34<06:18, 13.53s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 172 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [26:42<05:18, 11.80s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [26:44<03:57,  9.14s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 174 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 88%|█████████████████████████████████████████████████████▍       | 175/200 [26:51<03:30,  8.42s/it] 88%|█████████████████████████████████████████████████████▋       | 176/200 [26:59<03:19,  8.32s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 176 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [27:05<02:57,  7.71s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [27:34<05:06, 13.91s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 178 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [27:44<04:30, 12.87s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [27:48<03:24, 10.22s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 180 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 90%|███████████████████████████████████████████████████████▏     | 181/200 [27:57<03:07,  9.87s/it] 91%|███████████████████████████████████████████████████████▌     | 182/200 [27:59<02:13,  7.40s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 182 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [28:14<02:43,  9.65s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [28:38<03:43, 13.96s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 184 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [28:51<03:23, 13.58s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [28:56<02:35, 11.14s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 186 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 94%|█████████████████████████████████████████████████████████    | 187/200 [29:19<03:12, 14.77s/it] 94%|█████████████████████████████████████████████████████████▎   | 188/200 [29:21<02:09, 10.76s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 188 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [29:26<01:42,  9.27s/it] 95%|█████████████████████████████████████████████████████████▉   | 190/200 [29:30<01:15,  7.56s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 190 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 96%|██████████████████████████████████████████████████████████▎  | 191/200 [29:33<00:55,  6.11s/it] 96%|██████████████████████████████████████████████████████████▌  | 192/200 [29:58<01:34, 11.84s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 192 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [30:13<01:30, 12.89s/it] 97%|███████████████████████████████████████████████████████████▏ | 194/200 [30:19<01:04, 10.67s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 194 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 98%|███████████████████████████████████████████████████████████▍ | 195/200 [30:24<00:45,  9.12s/it] 98%|███████████████████████████████████████████████████████████▊ | 196/200 [30:34<00:37,  9.32s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 196 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 98%|████████████████████████████████████████████████████████████ | 197/200 [30:36<00:21,  7.05s/it] 99%|████████████████████████████████████████████████████████████▍| 198/200 [30:45<00:15,  7.76s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 198 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
100%|████████████████████████████████████████████████████████████▋| 199/200 [30:56<00:08,  8.74s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [31:10<00:00, 10.33s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [31:10<00:00,  9.35s/it]
Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Finance | Saving 200 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
Process ID: [2461870] | Exit
Process ID: [2461870] | Loading data from ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 0 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
  0%|▎                                                              | 1/200 [00:15<52:28, 15.82s/it]  1%|▋                                                              | 2/200 [00:22<35:19, 10.70s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 2 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
  2%|▉                                                              | 3/200 [00:34<35:53, 10.93s/it]  2%|█▎                                                             | 4/200 [00:35<23:59,  7.35s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 4 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
  2%|█▌                                                             | 5/200 [00:43<24:03,  7.40s/it]  3%|█▉                                                             | 6/200 [00:49<21:54,  6.78s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 6 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
  4%|██▏                                                            | 7/200 [01:07<33:35, 10.44s/it]  4%|██▌                                                            | 8/200 [01:38<54:25, 17.01s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 8 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
  4%|██▊                                                            | 9/200 [01:46<45:08, 14.18s/it]  5%|███                                                           | 10/200 [01:56<41:18, 13.04s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 10 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
  6%|███▍                                                          | 11/200 [02:12<44:07, 14.01s/it]  6%|███▋                                                          | 12/200 [02:17<34:39, 11.06s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 12 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
  6%|████                                                          | 13/200 [02:29<36:01, 11.56s/it]  7%|████▎                                                         | 14/200 [02:40<34:51, 11.24s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 14 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
  8%|████▋                                                         | 15/200 [03:00<43:25, 14.09s/it]  8%|████▉                                                         | 16/200 [03:15<43:16, 14.11s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 16 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
  8%|█████▎                                                        | 17/200 [03:22<36:41, 12.03s/it]  9%|█████▌                                                        | 18/200 [03:29<32:09, 10.60s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 18 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 10%|█████▉                                                        | 19/200 [03:36<28:58,  9.61s/it] 10%|██████▏                                                       | 20/200 [03:42<24:52,  8.29s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 20 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 10%|██████▌                                                       | 21/200 [04:00<33:54, 11.36s/it] 11%|██████▊                                                       | 22/200 [04:22<43:10, 14.55s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 22 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 12%|███████▏                                                      | 23/200 [04:24<31:29, 10.68s/it] 12%|███████▍                                                      | 24/200 [04:27<24:59,  8.52s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 24 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 12%|███████▊                                                      | 25/200 [04:33<22:41,  7.78s/it] 13%|████████                                                      | 26/200 [04:37<19:16,  6.65s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 26 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 14%|████████▎                                                     | 27/200 [04:48<22:31,  7.81s/it] 14%|████████▋                                                     | 28/200 [04:58<24:32,  8.56s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 28 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 14%|████████▉                                                     | 29/200 [05:00<18:18,  6.43s/it] 15%|█████████▎                                                    | 30/200 [05:12<23:29,  8.29s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 30 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 16%|█████████▌                                                    | 31/200 [05:22<24:38,  8.75s/it] 16%|█████████▉                                                    | 32/200 [05:29<22:34,  8.06s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 32 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 16%|██████████▏                                                   | 33/200 [05:37<22:32,  8.10s/it] 17%|██████████▌                                                   | 34/200 [05:46<23:29,  8.49s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 34 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 18%|██████████▊                                                   | 35/200 [05:59<27:04,  9.84s/it] 18%|███████████▏                                                  | 36/200 [06:11<28:24, 10.39s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 36 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 18%|███████████▍                                                  | 37/200 [06:20<26:53,  9.90s/it] 19%|███████████▊                                                  | 38/200 [06:38<33:36, 12.45s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 38 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 20%|████████████                                                  | 39/200 [07:07<46:50, 17.45s/it] 20%|████████████▍                                                 | 40/200 [07:16<39:54, 14.97s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 40 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 20%|████████████▋                                                 | 41/200 [07:40<46:19, 17.48s/it] 21%|█████████████                                                 | 42/200 [07:56<45:13, 17.17s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 42 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 22%|█████████████▎                                                | 43/200 [08:02<36:23, 13.91s/it] 22%|█████████████▋                                                | 44/200 [08:15<35:12, 13.54s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 44 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 22%|█████████████▉                                                | 45/200 [08:22<29:55, 11.58s/it] 23%|██████████████▎                                               | 46/200 [08:30<27:04, 10.55s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 46 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 24%|██████████████▌                                               | 47/200 [08:51<34:53, 13.68s/it] 24%|██████████████▉                                               | 48/200 [08:59<30:02, 11.86s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 48 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 24%|███████████████▏                                              | 49/200 [09:10<29:17, 11.64s/it] 25%|███████████████▌                                              | 50/200 [09:24<30:58, 12.39s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 50 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 26%|███████████████▊                                              | 51/200 [09:40<33:28, 13.48s/it] 26%|████████████████                                              | 52/200 [09:49<29:45, 12.06s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 52 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 26%|████████████████▍                                             | 53/200 [09:56<25:57, 10.60s/it] 27%|████████████████▋                                             | 54/200 [09:57<19:03,  7.83s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 54 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 28%|█████████████████                                             | 55/200 [10:09<21:32,  8.91s/it] 28%|█████████████████▎                                            | 56/200 [10:14<18:31,  7.72s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 56 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 28%|█████████████████▋                                            | 57/200 [10:21<18:09,  7.62s/it] 29%|█████████████████▉                                            | 58/200 [10:29<17:56,  7.58s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 58 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 30%|██████████████████▎                                           | 59/200 [10:40<20:24,  8.68s/it] 30%|██████████████████▌                                           | 60/200 [10:51<22:14,  9.53s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 60 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 30%|██████████████████▉                                           | 61/200 [11:04<24:31, 10.59s/it] 31%|███████████████████▏                                          | 62/200 [11:15<24:12, 10.53s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 62 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 32%|███████████████████▌                                          | 63/200 [11:20<20:28,  8.97s/it] 32%|███████████████████▊                                          | 64/200 [11:24<17:06,  7.55s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 64 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 32%|████████████████████▏                                         | 65/200 [11:33<17:50,  7.93s/it] 33%|████████████████████▍                                         | 66/200 [11:40<17:03,  7.64s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 66 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 34%|████████████████████▊                                         | 67/200 [11:55<21:33,  9.72s/it] 34%|█████████████████████                                         | 68/200 [12:03<20:40,  9.40s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 68 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 34%|█████████████████████▍                                        | 69/200 [12:20<25:04, 11.48s/it] 35%|█████████████████████▋                                        | 70/200 [12:35<27:21, 12.63s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 70 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 36%|██████████████████████                                        | 71/200 [12:49<27:48, 12.94s/it] 36%|██████████████████████▎                                       | 72/200 [12:52<21:28, 10.07s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 72 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 36%|██████████████████████▋                                       | 73/200 [12:54<16:23,  7.74s/it] 37%|██████████████████████▉                                       | 74/200 [12:58<13:39,  6.50s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 74 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 38%|███████████████████████▎                                      | 75/200 [13:03<12:41,  6.09s/it] 38%|███████████████████████▌                                      | 76/200 [13:22<20:43, 10.03s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 76 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 38%|███████████████████████▊                                      | 77/200 [13:32<20:16,  9.89s/it] 39%|████████████████████████▏                                     | 78/200 [13:42<20:06,  9.89s/it]Process ID: [2461870] | Model: llama-2-7b-chat-hf | File: Science | Saving 78 items to ./prompt_judge/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
