Process ID: [2461867] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/
    save_dir: ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/determine_truthfulness_ins.txt
Process ID: [2461867] | Loading data from ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:10<36:28, 11.00s/it]  1%|▋                                                              | 2/200 [00:17<26:42,  8.10s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 56%|██████████████████████████████████▍                          | 113/200 [16:15<11:45,  8.11s/it] 57%|██████████████████████████████████▊                          | 114/200 [16:24<11:45,  8.20s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 114 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 57%|███████████████████████████████████                          | 115/200 [17:01<23:45, 16.77s/it] 58%|███████████████████████████████████▍                         | 116/200 [17:03<17:37, 12.59s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 116 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 58%|███████████████████████████████████▋                         | 117/200 [17:20<18:58, 13.71s/it] 59%|███████████████████████████████████▉                         | 118/200 [17:29<16:50, 12.32s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 118 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 60%|████████████████████████████████████▎                        | 119/200 [17:31<12:28,  9.25s/it] 60%|████████████████████████████████████▌                        | 120/200 [17:38<11:28,  8.61s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 120 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 60%|████████████████████████████████████▉                        | 121/200 [17:42<09:35,  7.29s/it] 61%|█████████████████████████████████████▏                       | 122/200 [17:46<08:04,  6.21s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 122 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 62%|█████████████████████████████████████▌                       | 123/200 [17:47<06:09,  4.80s/it] 62%|█████████████████████████████████████▊                       | 124/200 [18:12<13:43, 10.84s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 124 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 62%|██████████████████████████████████████▏                      | 125/200 [18:35<18:01, 14.41s/it] 63%|██████████████████████████████████████▍                      | 126/200 [18:48<17:02, 13.82s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 126 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 64%|██████████████████████████████████████▋                      | 127/200 [19:05<18:04, 14.86s/it] 64%|███████████████████████████████████████                      | 128/200 [19:14<15:43, 13.10s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 128 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 64%|███████████████████████████████████████▎                     | 129/200 [19:40<20:05, 16.98s/it] 65%|███████████████████████████████████████▋                     | 130/200 [19:41<14:21, 12.30s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 130 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 66%|███████████████████████████████████████▉                     | 131/200 [19:52<13:31, 11.76s/it] 66%|████████████████████████████████████████▎                    | 132/200 [20:16<17:35, 15.52s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 132 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 66%|████████████████████████████████████████▌                    | 133/200 [20:25<15:08, 13.56s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 134 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 68%|█████████████████████████████████████████▏                   | 135/200 [21:03<17:23, 16.06s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [21:11<15:02, 14.10s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 136 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 68%|█████████████████████████████████████████▊                   | 137/200 [21:27<15:20, 14.61s/it] 69%|██████████████████████████████████████████                   | 138/200 [21:49<17:00, 16.46s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 138 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 70%|██████████████████████████████████████████▍                  | 139/200 [21:51<12:44, 12.54s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [21:58<11:01, 11.03s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 140 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 70%|███████████████████████████████████████████                  | 141/200 [22:13<11:50, 12.04s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [22:18<09:40, 10.00s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 142 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 72%|███████████████████████████████████████████▌                 | 143/200 [22:23<08:07,  8.55s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [22:42<10:53, 11.66s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 144 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 72%|████████████████████████████████████████████▏                | 145/200 [22:57<11:36, 12.67s/it]Undetected judge: The given returns for funds like VFIAX, SCHB, VTSAX, VEU, and VBTLX are specific financial statistics that can fluctuate over time and vary depending on the specific date and source of the data. Without access to the most current and accurate financial data or the specific date range for these returns, it is not possible to verify the accuracy of these statements. Investors should consult the latest financial reports or a financial advisor for up-to-date information on fund performance.
 73%|████████████████████████████████████████████▌                | 146/200 [23:04<09:51, 10.96s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 146 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 74%|████████████████████████████████████████████▊                | 147/200 [23:13<09:12, 10.42s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [23:18<07:39,  8.83s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 148 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 74%|█████████████████████████████████████████████▍               | 149/200 [23:21<06:02,  7.11s/it]Error: HTTP code 502 from API (<html>
<head><title>502 Bad Gateway</title></head>
<body>
<center><h1>502 Bad Gateway</h1></center>
<hr><center>cloudflare</center>
</body>
</html>
)
Retrying...
 75%|█████████████████████████████████████████████▊               | 150/200 [23:54<12:19, 14.78s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 150 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 76%|██████████████████████████████████████████████               | 151/200 [23:57<09:08, 11.20s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [24:15<10:33, 13.20s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 152 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 76%|██████████████████████████████████████████████▋              | 153/200 [24:23<09:11, 11.73s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [24:47<11:49, 15.43s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 154 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 78%|███████████████████████████████████████████████▎             | 155/200 [25:02<11:26, 15.27s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [25:14<10:33, 14.40s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 156 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 78%|███████████████████████████████████████████████▉             | 157/200 [25:37<12:09, 16.97s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [25:40<08:46, 12.54s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 158 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 80%|████████████████████████████████████████████████▍            | 159/200 [25:44<07:00, 10.26s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [25:46<05:06,  7.66s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 160 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 80%|█████████████████████████████████████████████████            | 161/200 [25:54<05:04,  7.81s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [25:56<03:50,  6.06s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 162 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 82%|██████████████████████████████████████████████████           | 164/200 [26:14<04:23,  7.32s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 164 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 82%|██████████████████████████████████████████████████▎          | 165/200 [26:16<03:29,  5.98s/it] 83%|██████████████████████████████████████████████████▋          | 166/200 [26:36<05:34,  9.83s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 166 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [26:43<04:52,  8.87s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 168 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [26:49<03:18,  6.42s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [27:06<04:24,  8.82s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 170 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [27:09<03:36,  7.46s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [27:22<04:05,  8.76s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 172 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [27:23<03:03,  6.80s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [27:25<02:17,  5.30s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 174 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 88%|█████████████████████████████████████████████████████▍       | 175/200 [27:29<02:08,  5.15s/it] 88%|█████████████████████████████████████████████████████▋       | 176/200 [27:38<02:27,  6.15s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 176 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [27:48<02:45,  7.19s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [27:53<02:25,  6.59s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 178 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [27:58<02:09,  6.15s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [28:01<01:41,  5.07s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 180 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 90%|███████████████████████████████████████████████████████▏     | 181/200 [28:15<02:31,  7.97s/it] 91%|███████████████████████████████████████████████████████▌     | 182/200 [28:18<01:52,  6.26s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 182 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [28:26<01:57,  6.89s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [28:45<02:48, 10.55s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 184 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [28:52<02:22,  9.47s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [29:05<02:27, 10.52s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 186 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 94%|█████████████████████████████████████████████████████████    | 187/200 [29:09<01:53,  8.72s/it] 94%|█████████████████████████████████████████████████████████▎   | 188/200 [29:24<02:05, 10.44s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 188 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [29:41<02:18, 12.57s/it] 95%|█████████████████████████████████████████████████████████▉   | 190/200 [29:44<01:34,  9.49s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 190 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 96%|██████████████████████████████████████████████████████████▌  | 192/200 [30:10<01:29, 11.15s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 192 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [30:28<01:30, 12.87s/it] 97%|███████████████████████████████████████████████████████████▏ | 194/200 [30:32<01:03, 10.65s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 194 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 98%|███████████████████████████████████████████████████████████▍ | 195/200 [30:50<01:03, 12.62s/it] 98%|███████████████████████████████████████████████████████████▊ | 196/200 [31:02<00:49, 12.28s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 196 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
 98%|████████████████████████████████████████████████████████████ | 197/200 [31:08<00:31, 10.49s/it] 99%|████████████████████████████████████████████████████████████▍| 198/200 [31:12<00:17,  8.77s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 198 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
100%|████████████████████████████████████████████████████████████▋| 199/200 [31:16<00:07,  7.24s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [31:24<00:00,  7.45s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [31:24<00:00,  9.42s/it]
Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Finance | Saving 200 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
Process ID: [2461867] | Exit
Process ID: [2461867] | Loading data from ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 0 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
  0%|▎                                                            | 1/200 [00:23<1:18:27, 23.66s/it]  1%|▋                                                              | 2/200 [00:34<53:59, 16.36s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 2 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
  2%|▉                                                              | 3/200 [00:40<37:51, 11.53s/it]  2%|█▎                                                             | 4/200 [01:02<51:01, 15.62s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 4 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
  2%|█▌                                                             | 5/200 [01:05<35:29, 10.92s/it]  3%|█▉                                                             | 6/200 [01:17<36:38, 11.33s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 6 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
  4%|██▏                                                            | 7/200 [01:27<35:40, 11.09s/it]  4%|██▌                                                            | 8/200 [01:29<26:19,  8.23s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 8 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
  4%|██▊                                                            | 9/200 [01:38<26:18,  8.27s/it]  5%|███                                                           | 10/200 [01:57<37:08, 11.73s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 10 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
  6%|███▍                                                          | 11/200 [02:18<45:41, 14.50s/it]  6%|███▋                                                          | 12/200 [02:24<37:06, 11.84s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 12 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
  6%|████                                                          | 13/200 [02:35<36:41, 11.77s/it]  7%|████▎                                                         | 14/200 [02:44<33:02, 10.66s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 14 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
  8%|████▋                                                         | 15/200 [02:47<26:04,  8.46s/it]  8%|████▉                                                         | 16/200 [02:55<25:48,  8.42s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 16 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
  8%|█████▎                                                        | 17/200 [02:57<19:40,  6.45s/it]  9%|█████▌                                                        | 18/200 [03:05<20:38,  6.81s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 18 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 10%|█████▉                                                        | 19/200 [03:07<16:05,  5.33s/it] 10%|██████▏                                                       | 20/200 [03:13<16:34,  5.53s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 20 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 10%|██████▌                                                       | 21/200 [03:32<29:12,  9.79s/it] 11%|██████▊                                                       | 22/200 [03:39<25:49,  8.71s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 22 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 12%|███████▏                                                      | 23/200 [03:43<22:16,  7.55s/it] 12%|███████▍                                                      | 24/200 [03:59<29:36, 10.10s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 24 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 12%|███████▊                                                      | 25/200 [04:22<40:39, 13.94s/it] 13%|████████                                                      | 26/200 [04:30<34:58, 12.06s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 26 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 14%|████████▎                                                     | 27/200 [04:35<28:26,  9.86s/it] 14%|████████▋                                                     | 28/200 [04:48<31:34, 11.01s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 28 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 14%|████████▉                                                     | 29/200 [05:10<40:45, 14.30s/it] 15%|█████████▎                                                    | 30/200 [05:23<39:19, 13.88s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 30 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 16%|█████████▌                                                    | 31/200 [05:36<38:16, 13.59s/it] 16%|█████████▉                                                    | 32/200 [05:51<38:48, 13.86s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 32 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 16%|██████████▏                                                   | 33/200 [05:58<33:03, 11.88s/it] 17%|██████████▌                                                   | 34/200 [06:04<27:47, 10.05s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 34 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 18%|██████████▊                                                   | 35/200 [06:07<22:08,  8.05s/it] 18%|███████████▏                                                  | 36/200 [06:16<22:48,  8.34s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 36 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 18%|███████████▍                                                  | 37/200 [06:24<21:55,  8.07s/it] 19%|███████████▊                                                  | 38/200 [06:30<20:30,  7.60s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 38 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 20%|████████████                                                  | 39/200 [06:55<34:10, 12.74s/it] 20%|████████████▍                                                 | 40/200 [07:10<36:02, 13.51s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 40 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 20%|████████████▋                                                 | 41/200 [07:17<30:43, 11.59s/it] 21%|█████████████                                                 | 42/200 [07:25<27:24, 10.41s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 42 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 22%|█████████████▎                                                | 43/200 [07:30<22:48,  8.71s/it] 22%|█████████████▋                                                | 44/200 [07:36<20:28,  7.88s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 44 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 22%|█████████████▉                                                | 45/200 [07:39<17:03,  6.60s/it] 23%|██████████████▎                                               | 46/200 [07:47<17:29,  6.81s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 46 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 24%|██████████████▌                                               | 47/200 [07:49<14:06,  5.53s/it] 24%|██████████████▉                                               | 48/200 [07:55<14:25,  5.69s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 48 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 24%|███████████████▏                                              | 49/200 [08:10<21:30,  8.54s/it] 25%|███████████████▌                                              | 50/200 [08:25<26:16, 10.51s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 50 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 26%|███████████████▊                                              | 51/200 [08:32<23:10,  9.33s/it] 26%|████████████████                                              | 52/200 [08:42<23:32,  9.54s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 52 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 26%|████████████████▍                                             | 53/200 [08:49<21:13,  8.67s/it] 27%|████████████████▋                                             | 54/200 [08:53<18:06,  7.44s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 54 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 28%|█████████████████                                             | 55/200 [09:06<21:56,  9.08s/it] 28%|█████████████████▎                                            | 56/200 [09:08<16:19,  6.80s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 56 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 28%|█████████████████▋                                            | 57/200 [09:22<21:49,  9.16s/it] 29%|█████████████████▉                                            | 58/200 [09:29<19:51,  8.39s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 58 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 30%|██████████████████▎                                           | 59/200 [09:59<34:59, 14.89s/it] 30%|██████████████████▌                                           | 60/200 [10:27<43:47, 18.77s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 60 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 30%|██████████████████▉                                           | 61/200 [10:32<33:51, 14.62s/it] 31%|███████████████████▏                                          | 62/200 [10:38<28:02, 12.19s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 62 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 32%|███████████████████▌                                          | 63/200 [10:43<23:02, 10.09s/it] 32%|███████████████████▊                                          | 64/200 [10:45<17:11,  7.58s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 64 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 32%|████████████████████▏                                         | 65/200 [10:53<17:05,  7.60s/it] 33%|████████████████████▍                                         | 66/200 [11:03<18:44,  8.39s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 66 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 34%|████████████████████▊                                         | 67/200 [11:24<26:59, 12.17s/it] 34%|█████████████████████                                         | 68/200 [11:28<21:10,  9.62s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 68 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 34%|█████████████████████▍                                        | 69/200 [11:36<20:15,  9.28s/it] 35%|█████████████████████▋                                        | 70/200 [11:44<18:55,  8.73s/it]Process ID: [2461867] | Model: llama-2-7b-chat-hf | File: Science | Saving 70 items to ./prompt_judge/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
