Process ID: [2461869] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/
    save_dir: ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/determine_truthfulness_ins.txt
Process ID: [2461869] | Loading data from ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:08<27:22,  8.25s/it]  1%|▋                                                              | 2/200 [00:26<47:07, 14.28s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 58%|███████████████████████████████████▋                         | 117/200 [16:49<14:08, 10.23s/it] 59%|███████████████████████████████████▉                         | 118/200 [17:02<15:20, 11.22s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 118 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 60%|████████████████████████████████████▎                        | 119/200 [17:09<13:14,  9.81s/it] 60%|████████████████████████████████████▌                        | 120/200 [17:16<11:54,  8.93s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 120 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 60%|████████████████████████████████████▉                        | 121/200 [17:20<10:06,  7.68s/it] 61%|█████████████████████████████████████▏                       | 122/200 [17:35<12:42,  9.77s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 122 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 62%|█████████████████████████████████████▌                       | 123/200 [17:42<11:24,  8.89s/it] 62%|█████████████████████████████████████▊                       | 124/200 [17:47<09:51,  7.78s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 124 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 62%|██████████████████████████████████████▏                      | 125/200 [17:57<10:36,  8.48s/it] 63%|██████████████████████████████████████▍                      | 126/200 [18:16<14:19, 11.62s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 126 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 64%|██████████████████████████████████████▋                      | 127/200 [18:18<10:31,  8.65s/it] 64%|███████████████████████████████████████                      | 128/200 [18:25<09:50,  8.20s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 128 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 64%|███████████████████████████████████████▎                     | 129/200 [18:42<12:54, 10.90s/it] 65%|███████████████████████████████████████▋                     | 130/200 [18:48<10:58,  9.41s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 130 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 66%|███████████████████████████████████████▉                     | 131/200 [18:54<09:46,  8.50s/it] 66%|████████████████████████████████████████▎                    | 132/200 [19:15<13:40, 12.07s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 132 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 66%|████████████████████████████████████████▌                    | 133/200 [19:45<19:26, 17.41s/it] 67%|████████████████████████████████████████▊                    | 134/200 [20:12<22:17, 20.27s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 134 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 68%|█████████████████████████████████████████▏                   | 135/200 [20:26<20:03, 18.51s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [20:36<16:58, 15.92s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 136 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 68%|█████████████████████████████████████████▊                   | 137/200 [20:48<15:29, 14.75s/it] 69%|██████████████████████████████████████████                   | 138/200 [21:13<18:21, 17.76s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 138 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 70%|██████████████████████████████████████████▍                  | 139/200 [21:17<14:03, 13.82s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [21:23<11:19, 11.33s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 140 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 70%|███████████████████████████████████████████                  | 141/200 [21:27<09:03,  9.22s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [21:31<07:24,  7.66s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 142 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 72%|███████████████████████████████████████████▌                 | 143/200 [21:44<08:40,  9.13s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 144 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 73%|████████████████████████████████████████████▌                | 146/200 [21:56<05:41,  6.33s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 146 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 74%|████████████████████████████████████████████▊                | 147/200 [22:12<07:19,  8.30s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [22:15<06:08,  7.10s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 148 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 74%|█████████████████████████████████████████████▍               | 149/200 [22:32<08:09,  9.60s/it] 75%|█████████████████████████████████████████████▊               | 150/200 [22:34<06:13,  7.47s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 150 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 76%|██████████████████████████████████████████████               | 151/200 [22:35<04:47,  5.86s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [22:56<07:56,  9.92s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 152 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 76%|██████████████████████████████████████████████▋              | 153/200 [23:27<12:36, 16.09s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [23:40<11:42, 15.27s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 154 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 78%|███████████████████████████████████████████████▎             | 155/200 [23:44<08:49, 11.76s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [23:54<08:15, 11.25s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 156 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 78%|███████████████████████████████████████████████▉             | 157/200 [24:08<08:44, 12.20s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [24:12<06:55,  9.88s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 158 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 80%|████████████████████████████████████████████████▍            | 159/200 [24:17<05:43,  8.39s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [24:20<04:28,  6.71s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 160 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 80%|█████████████████████████████████████████████████            | 161/200 [24:25<04:03,  6.24s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [24:31<03:56,  6.23s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 162 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [24:42<04:36,  7.48s/it] 82%|██████████████████████████████████████████████████           | 164/200 [24:49<04:20,  7.24s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 164 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 166 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [24:51<01:57,  3.56s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [25:02<02:43,  5.12s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 168 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [25:03<02:14,  4.34s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [25:20<03:44,  7.48s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 170 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [25:26<03:21,  6.94s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [25:28<02:42,  5.81s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 172 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [25:33<02:24,  5.37s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [25:35<01:53,  4.38s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 174 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 88%|█████████████████████████████████████████████████████▍       | 175/200 [25:40<01:54,  4.59s/it] 88%|█████████████████████████████████████████████████████▋       | 176/200 [25:48<02:16,  5.67s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 176 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [25:50<01:42,  4.46s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [25:54<01:36,  4.37s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 178 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [26:00<01:43,  4.95s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [26:01<01:18,  3.90s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 180 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 91%|███████████████████████████████████████████████████████▌     | 182/200 [26:04<00:49,  2.77s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 182 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [26:16<01:25,  5.02s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [26:28<01:50,  6.88s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 184 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [26:46<02:25,  9.73s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [26:54<02:11,  9.40s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 186 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 94%|█████████████████████████████████████████████████████████    | 187/200 [27:06<02:11, 10.10s/it] 94%|█████████████████████████████████████████████████████████▎   | 188/200 [27:11<01:44,  8.68s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 188 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [27:15<01:19,  7.26s/it] 95%|█████████████████████████████████████████████████████████▉   | 190/200 [27:18<01:00,  6.08s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 190 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 96%|██████████████████████████████████████████████████████████▎  | 191/200 [27:20<00:43,  4.86s/it]Undetected judge: 6. NOTE: Acknowledged. The above responses are based on the understanding of tax laws up to the knowledge cutoff date in early 2023. Tax laws can change, and for the most updated information, one should consult the latest tax regulations or a tax professional.
 96%|██████████████████████████████████████████████████████████▌  | 192/200 [27:53<01:45, 13.21s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 192 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [28:15<01:49, 15.66s/it] 97%|███████████████████████████████████████████████████████████▏ | 194/200 [28:20<01:16, 12.68s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 194 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 98%|███████████████████████████████████████████████████████████▍ | 195/200 [28:40<01:13, 14.75s/it] 98%|███████████████████████████████████████████████████████████▊ | 196/200 [28:45<00:47, 11.91s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 196 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
 98%|████████████████████████████████████████████████████████████ | 197/200 [28:51<00:29,  9.99s/it] 99%|████████████████████████████████████████████████████████████▍| 198/200 [28:53<00:15,  7.71s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 198 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
100%|████████████████████████████████████████████████████████████▋| 199/200 [29:12<00:10, 10.93s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [29:22<00:00, 10.67s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [29:22<00:00,  8.81s/it]
Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Finance | Saving 200 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
Process ID: [2461869] | Exit
Process ID: [2461869] | Loading data from ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 0 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
  0%|▎                                                              | 1/200 [00:09<30:37,  9.23s/it]  1%|▋                                                              | 2/200 [00:22<38:25, 11.64s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 2 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
  2%|▉                                                              | 3/200 [00:38<44:29, 13.55s/it]  2%|█▎                                                             | 4/200 [00:43<32:52, 10.07s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 4 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
  2%|█▌                                                             | 5/200 [00:47<26:02,  8.01s/it]  3%|█▉                                                             | 6/200 [01:16<49:31, 15.32s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 6 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
  4%|██▏                                                            | 7/200 [01:35<52:48, 16.42s/it]  4%|██▍                                                          | 8/200 [02:07<1:08:10, 21.30s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 8 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
  4%|██▋                                                          | 9/200 [02:23<1:03:02, 19.81s/it]  5%|███                                                         | 10/200 [02:41<1:00:59, 19.26s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 10 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
  6%|███▍                                                          | 11/200 [02:53<52:53, 16.79s/it]  6%|███▋                                                          | 12/200 [02:58<42:03, 13.42s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 12 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
  6%|████                                                          | 13/200 [03:06<36:47, 11.80s/it]  7%|████▎                                                         | 14/200 [03:22<39:42, 12.81s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 14 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
  8%|████▋                                                         | 15/200 [03:30<35:10, 11.41s/it]  8%|████▉                                                         | 16/200 [03:35<29:07,  9.50s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 16 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
  8%|█████▎                                                        | 17/200 [03:39<23:40,  7.76s/it]  9%|█████▌                                                        | 18/200 [03:44<21:16,  7.01s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 18 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 10%|█████▉                                                        | 19/200 [03:49<19:37,  6.51s/it] 10%|██████▏                                                       | 20/200 [03:53<16:44,  5.58s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 20 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 10%|██████▌                                                       | 21/200 [04:06<23:56,  8.02s/it] 11%|██████▊                                                       | 22/200 [04:21<29:32,  9.96s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 22 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 12%|███████▏                                                      | 23/200 [04:30<29:06,  9.87s/it] 12%|███████▍                                                      | 24/200 [04:35<23:58,  8.17s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 24 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 12%|███████▊                                                      | 25/200 [04:51<31:24, 10.77s/it] 13%|████████                                                      | 26/200 [04:56<26:10,  9.02s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 26 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 14%|████████▎                                                     | 27/200 [05:25<42:38, 14.79s/it] 14%|████████▋                                                     | 28/200 [05:34<37:38, 13.13s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 28 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 14%|████████▉                                                     | 29/200 [05:40<31:17, 10.98s/it] 15%|█████████▎                                                    | 30/200 [05:47<27:41,  9.77s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 30 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 16%|█████████▌                                                    | 31/200 [05:54<25:05,  8.91s/it] 16%|█████████▉                                                    | 32/200 [05:56<19:31,  6.98s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 32 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 16%|██████████▏                                                   | 33/200 [06:05<20:59,  7.54s/it] 17%|██████████▌                                                   | 34/200 [06:10<18:49,  6.81s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 34 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 18%|██████████▊                                                   | 35/200 [06:24<24:53,  9.05s/it] 18%|███████████▏                                                  | 36/200 [06:43<32:48, 12.00s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 36 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 18%|███████████▍                                                  | 37/200 [06:53<30:28, 11.22s/it] 19%|███████████▊                                                  | 38/200 [07:03<29:28, 10.91s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 38 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 20%|████████████                                                  | 39/200 [07:23<36:54, 13.76s/it] 20%|████████████▍                                                 | 40/200 [07:33<33:07, 12.42s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 40 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 20%|████████████▋                                                 | 41/200 [07:35<24:57,  9.42s/it] 21%|█████████████                                                 | 42/200 [07:40<20:56,  7.95s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 42 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 22%|█████████████▎                                                | 43/200 [08:12<39:48, 15.21s/it] 22%|█████████████▋                                                | 44/200 [08:17<32:12, 12.39s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 44 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 22%|█████████████▉                                                | 45/200 [08:28<30:41, 11.88s/it] 23%|██████████████▎                                               | 46/200 [08:39<29:50, 11.62s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 46 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 24%|██████████████▌                                               | 47/200 [08:58<34:45, 13.63s/it] 24%|██████████████▉                                               | 48/200 [09:06<30:42, 12.12s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 48 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 24%|███████████████▏                                              | 49/200 [09:11<25:17, 10.05s/it] 25%|███████████████▌                                              | 50/200 [09:17<21:44,  8.70s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 50 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 26%|███████████████▊                                              | 51/200 [09:35<28:54, 11.64s/it] 26%|████████████████                                              | 52/200 [09:42<25:14, 10.24s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 52 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 26%|████████████████▍                                             | 53/200 [09:51<23:55,  9.76s/it] 27%|████████████████▋                                             | 54/200 [10:09<29:59, 12.32s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 54 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 28%|█████████████████                                             | 55/200 [10:19<28:06, 11.63s/it] 28%|█████████████████▎                                            | 56/200 [10:23<21:53,  9.12s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 56 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 28%|█████████████████▋                                            | 57/200 [10:39<27:06, 11.37s/it] 29%|█████████████████▉                                            | 58/200 [10:49<25:38, 10.83s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 58 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 30%|██████████████████▎                                           | 59/200 [10:55<22:10,  9.43s/it] 30%|██████████████████▌                                           | 60/200 [11:08<24:38, 10.56s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 60 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 30%|██████████████████▉                                           | 61/200 [11:13<20:40,  8.93s/it] 31%|███████████████████▏                                          | 62/200 [11:18<17:27,  7.59s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 62 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 32%|███████████████████▌                                          | 63/200 [11:34<23:17, 10.20s/it] 32%|███████████████████▊                                          | 64/200 [11:37<18:28,  8.15s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 64 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 32%|████████████████████▏                                         | 65/200 [11:40<14:56,  6.64s/it] 33%|████████████████████▍                                         | 66/200 [11:54<19:17,  8.63s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 66 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 34%|████████████████████▊                                         | 67/200 [11:55<14:22,  6.49s/it] 34%|█████████████████████                                         | 68/200 [12:05<16:18,  7.41s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 68 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 34%|█████████████████████▍                                        | 69/200 [12:21<21:55, 10.04s/it] 35%|█████████████████████▋                                        | 70/200 [12:40<27:29, 12.69s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 70 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 36%|██████████████████████                                        | 71/200 [12:53<27:17, 12.70s/it] 36%|██████████████████████▎                                       | 72/200 [12:58<22:41, 10.64s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 72 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 36%|██████████████████████▋                                       | 73/200 [13:02<17:45,  8.39s/it] 37%|██████████████████████▉                                       | 74/200 [13:12<19:03,  9.07s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 74 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 38%|███████████████████████▎                                      | 75/200 [13:38<29:16, 14.05s/it] 38%|███████████████████████▌                                      | 76/200 [13:54<30:08, 14.59s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 76 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 38%|███████████████████████▊                                      | 77/200 [14:00<24:35, 11.99s/it] 39%|████████████████████████▏                                     | 78/200 [14:27<33:28, 16.46s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 78 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 40%|████████████████████████▍                                     | 79/200 [14:41<32:03, 15.89s/it] 40%|████████████████████████▊                                     | 80/200 [14:46<24:58, 12.49s/it]Process ID: [2461869] | Model: llama-2-7b-chat-hf | File: Science | Saving 80 items to ./prompt_judge/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
