Process ID: [2421853] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421853] | Loading data from ./prompt_response/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421853] | Loading exist data from ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 0
   0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
   0%|▎                                                              | 1/200 [00:12<42:09, 12.71s/it]   1%|▋                                                              | 2/200 [00:19<30:26,  9.23s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 76%|██████████████████████████████████████████████▋              | 153/200 [36:15<09:52, 12.60s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [36:45<13:42, 17.88s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Science | Saving 154 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 78%|███████████████████████████████████████████████▎             | 155/200 [37:09<14:47, 19.71s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [37:29<14:24, 19.65s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Science | Saving 156 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 78%|███████████████████████████████████████████████▉             | 157/200 [37:38<11:57, 16.70s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [37:57<11:58, 17.10s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Science | Saving 158 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 80%|████████████████████████████████████████████████▍            | 159/200 [38:10<10:57, 16.05s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [38:25<10:29, 15.75s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Science | Saving 160 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 80%|█████████████████████████████████████████████████            | 161/200 [38:37<09:30, 14.64s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [39:03<11:22, 17.97s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Science | Saving 162 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [39:18<10:29, 17.02s/it] 82%|██████████████████████████████████████████████████           | 164/200 [39:30<09:22, 15.61s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Science | Saving 164 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 82%|██████████████████████████████████████████████████▎          | 165/200 [39:45<09:01, 15.46s/it] 83%|██████████████████████████████████████████████████▋          | 166/200 [39:59<08:28, 14.96s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Science | Saving 166 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [40:17<08:47, 16.00s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [40:25<07:11, 13.49s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Science | Saving 168 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [40:45<07:56, 15.38s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [40:58<07:19, 14.63s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Science | Saving 170 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [41:09<06:33, 13.58s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [41:23<06:27, 13.83s/it]Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Science | Saving 172 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
Error: 该令牌额度已用尽 (request id: 20231218152138913000715loTvZgY)
Retrying...
Error: 该令牌额度已用尽 (request id: 20231218102130710890813vs7FTJkO)
Retrying...
Error: 该令牌额度已用尽 (request id: 2023121815215919521177111A8DbgY)
Retrying...
Error: 该令牌额度已用尽 (request id: 20231218102152264427476boHtCt1d)
Retrying...
Error: 该令牌额度已用尽 (request id: 20231218152220406346632siCzMZbB)
Retrying...
 86%|████████████████████████████████████████████████████▍        | 172/200 [42:17<06:53, 14.75s/it]
Process ID: [2421853] | Model: llama-2-7b-chat-hf | File: Science | Saving 172 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
Process ID: [2421853] | Exit
Traceback (most recent call last):
  File "/home/chenjie/Project/fact_hallu/prompt_task_new/fact.py", line 92, in <module>
    factbot.generate_facts(
  File "/home/chenjie/Project/fact_hallu/prompt_task_new/fact.py", line 57, in generate_facts
    ans = complete_func(query, self.assist_model, **kwargs)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/chenjie/Project/fact_hallu/prompt_task_new/response.py", line 301, in openai_complete
    raise ValueError("Failed to generate response")
ValueError: Failed to generate response
Process ID: [2457271] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2457271] | Loading data from ./prompt_response/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2457271] | Loading exist data from ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 200 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
Process ID: [2457271] | Exit
Process ID: [2457271] | Loading data from ./prompt_response/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json | Total 200
Process ID: [2457271] | Loading exist data from ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json | Total 200
Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Finance | Saving 200 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Finance.json
Process ID: [2457271] | Exit
Process ID: [2457271] | Loading data from ./prompt_response/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json | Total 200
Process ID: [2457271] | Loading exist data from ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json | Total 172
  0%|                                                                        | 0/28 [00:00<?, ?it/s]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Science | Saving 172 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
  4%|██▎                                                             | 1/28 [00:19<08:52, 19.72s/it]  7%|████▌                                                           | 2/28 [00:29<05:53, 13.59s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Science | Saving 174 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 11%|██████▊                                                         | 3/28 [00:33<03:57,  9.51s/it] 14%|█████████▏                                                      | 4/28 [00:42<03:45,  9.38s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Science | Saving 176 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 18%|███████████▍                                                    | 5/28 [00:50<03:20,  8.74s/it] 21%|█████████████▋                                                  | 6/28 [00:58<03:03,  8.34s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Science | Saving 178 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 25%|████████████████                                                | 7/28 [01:08<03:07,  8.92s/it] 29%|██████████████████▎                                             | 8/28 [01:24<03:44, 11.25s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Science | Saving 180 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 32%|████████████████████▌                                           | 9/28 [01:34<03:29, 11.03s/it] 36%|██████████████████████▌                                        | 10/28 [01:44<03:10, 10.57s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Science | Saving 182 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 39%|████████████████████████▊                                      | 11/28 [01:50<02:36,  9.21s/it] 43%|███████████████████████████                                    | 12/28 [01:58<02:20,  8.79s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Science | Saving 184 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 46%|█████████████████████████████▎                                 | 13/28 [02:08<02:16,  9.10s/it] 50%|███████████████████████████████▌                               | 14/28 [02:16<02:05,  8.98s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Science | Saving 186 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 54%|█████████████████████████████████▊                             | 15/28 [02:27<02:03,  9.52s/it] 57%|████████████████████████████████████                           | 16/28 [02:34<01:43,  8.63s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Science | Saving 188 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 61%|██████████████████████████████████████▎                        | 17/28 [02:40<01:26,  7.90s/it] 64%|████████████████████████████████████████▌                      | 18/28 [02:47<01:15,  7.55s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Science | Saving 190 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 68%|██████████████████████████████████████████▊                    | 19/28 [02:56<01:11,  7.93s/it] 71%|█████████████████████████████████████████████                  | 20/28 [03:03<01:02,  7.84s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Science | Saving 192 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 75%|███████████████████████████████████████████████▎               | 21/28 [03:11<00:54,  7.85s/it] 79%|█████████████████████████████████████████████████▌             | 22/28 [03:18<00:45,  7.61s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Science | Saving 194 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 82%|███████████████████████████████████████████████████▊           | 23/28 [03:27<00:39,  7.98s/it] 86%|██████████████████████████████████████████████████████         | 24/28 [03:35<00:31,  7.87s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Science | Saving 196 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 89%|████████████████████████████████████████████████████████▎      | 25/28 [03:42<00:23,  7.86s/it] 93%|██████████████████████████████████████████████████████████▌    | 26/28 [03:49<00:15,  7.52s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Science | Saving 198 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
 96%|████████████████████████████████████████████████████████████▊  | 27/28 [04:01<00:08,  8.96s/it]100%|███████████████████████████████████████████████████████████████| 28/28 [04:11<00:00,  9.24s/it]100%|███████████████████████████████████████████████████████████████| 28/28 [04:11<00:00,  8.99s/it]
Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Science | Saving 200 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Science.json
Process ID: [2457271] | Exit
Process ID: [2457271] | Loading data from ./prompt_response/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 0 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
  0%|▎                                                              | 1/200 [00:07<26:22,  7.95s/it]  1%|▋                                                              | 2/200 [00:14<23:00,  6.97s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 2 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
  2%|▉                                                              | 3/200 [00:21<23:54,  7.28s/it]  2%|█▎                                                             | 4/200 [00:29<24:45,  7.58s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 4 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
  2%|█▌                                                             | 5/200 [00:33<19:38,  6.04s/it]  3%|█▉                                                             | 6/200 [00:38<18:35,  5.75s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 6 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
  4%|██▏                                                            | 7/200 [00:47<22:18,  6.93s/it]  4%|██▌                                                            | 8/200 [00:54<22:10,  6.93s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 8 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
  4%|██▊                                                            | 9/200 [01:02<22:28,  7.06s/it]  5%|███                                                           | 10/200 [01:09<22:23,  7.07s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 10 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
  6%|███▍                                                          | 11/200 [01:16<22:49,  7.25s/it]  6%|███▋                                                          | 12/200 [01:22<20:51,  6.66s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 12 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
  6%|████                                                          | 13/200 [01:28<20:42,  6.64s/it]  7%|████▎                                                         | 14/200 [01:31<17:21,  5.60s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 14 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
  8%|████▋                                                         | 15/200 [01:38<18:27,  5.99s/it]  8%|████▉                                                         | 16/200 [01:39<13:38,  4.45s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 16 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
  8%|█████▎                                                        | 17/200 [01:44<14:06,  4.63s/it]  9%|█████▌                                                        | 18/200 [01:45<10:31,  3.47s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 18 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 10%|█████▉                                                        | 19/200 [01:46<08:10,  2.71s/it] 10%|██████▏                                                       | 20/200 [01:47<06:33,  2.19s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 20 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 10%|██████▌                                                       | 21/200 [01:48<05:39,  1.90s/it] 11%|██████▊                                                       | 22/200 [01:51<06:06,  2.06s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 22 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 12%|███████▏                                                      | 23/200 [01:54<07:43,  2.62s/it] 12%|███████▍                                                      | 24/200 [02:02<12:15,  4.18s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 24 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 12%|███████▊                                                      | 25/200 [02:03<09:13,  3.16s/it] 13%|████████                                                      | 26/200 [02:06<08:36,  2.97s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 26 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 14%|████████▎                                                     | 27/200 [02:08<07:38,  2.65s/it] 14%|████████▋                                                     | 28/200 [02:20<16:29,  5.75s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 28 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 14%|████████▉                                                     | 29/200 [02:22<12:21,  4.34s/it] 15%|█████████▎                                                    | 30/200 [02:22<09:16,  3.28s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 30 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 16%|█████████▌                                                    | 31/200 [02:27<10:41,  3.80s/it] 16%|█████████▉                                                    | 32/200 [02:34<12:47,  4.57s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 32 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 16%|██████████▏                                                   | 33/200 [02:44<17:17,  6.21s/it] 17%|██████████▌                                                   | 34/200 [02:55<21:06,  7.63s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 34 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 18%|██████████▊                                                   | 35/200 [03:01<19:47,  7.20s/it] 18%|███████████▏                                                  | 36/200 [03:08<19:53,  7.28s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 36 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 18%|███████████▍                                                  | 37/200 [03:22<25:20,  9.33s/it] 19%|███████████▊                                                  | 38/200 [03:23<18:20,  6.80s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 38 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 20%|████████████                                                  | 39/200 [03:24<13:40,  5.09s/it] 20%|████████████▍                                                 | 40/200 [03:32<15:48,  5.93s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 40 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 20%|████████████▋                                                 | 41/200 [03:39<16:28,  6.22s/it] 21%|█████████████                                                 | 42/200 [03:48<18:03,  6.86s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 42 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 22%|█████████████▎                                                | 43/200 [03:51<15:28,  5.91s/it] 22%|█████████████▋                                                | 44/200 [03:52<11:28,  4.41s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 44 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 22%|█████████████▉                                                | 45/200 [04:05<18:05,  7.00s/it] 23%|██████████████▎                                               | 46/200 [04:10<16:36,  6.47s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 46 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 24%|██████████████▌                                               | 47/200 [04:11<12:18,  4.83s/it] 24%|██████████████▉                                               | 48/200 [04:13<09:25,  3.72s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 48 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 24%|███████████████▏                                              | 49/200 [04:20<11:57,  4.75s/it] 25%|███████████████▌                                              | 50/200 [04:25<11:57,  4.78s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 50 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 26%|███████████████▊                                              | 51/200 [04:30<12:39,  5.10s/it] 26%|████████████████                                              | 52/200 [04:31<09:19,  3.78s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 52 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 26%|████████████████▍                                             | 53/200 [04:36<09:44,  3.98s/it] 27%|████████████████▋                                             | 54/200 [04:40<10:19,  4.24s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 54 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 28%|█████████████████                                             | 55/200 [04:48<12:24,  5.13s/it] 28%|█████████████████▎                                            | 56/200 [04:56<14:52,  6.20s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 56 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 28%|█████████████████▋                                            | 57/200 [05:06<17:02,  7.15s/it] 29%|█████████████████▉                                            | 58/200 [05:07<12:23,  5.24s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 58 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 30%|██████████████████▎                                           | 59/200 [05:14<13:39,  5.81s/it] 30%|██████████████████▌                                           | 60/200 [05:19<12:56,  5.55s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 60 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 30%|██████████████████▉                                           | 61/200 [05:28<15:17,  6.60s/it] 31%|███████████████████▏                                          | 62/200 [05:29<11:17,  4.91s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 62 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 32%|███████████████████▌                                          | 63/200 [05:35<12:30,  5.48s/it] 32%|███████████████████▊                                          | 64/200 [05:42<13:17,  5.86s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 64 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 32%|████████████████████▏                                         | 65/200 [05:50<14:20,  6.37s/it] 33%|████████████████████▍                                         | 66/200 [05:55<13:34,  6.08s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 66 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 34%|████████████████████▊                                         | 67/200 [06:01<13:22,  6.03s/it] 34%|█████████████████████                                         | 68/200 [06:09<14:51,  6.75s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 68 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 34%|█████████████████████▍                                        | 69/200 [06:21<17:45,  8.14s/it] 35%|█████████████████████▋                                        | 70/200 [06:22<12:47,  5.91s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 70 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 36%|██████████████████████                                        | 71/200 [06:30<14:08,  6.58s/it] 36%|██████████████████████▎                                       | 72/200 [06:42<17:51,  8.37s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 72 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 36%|██████████████████████▋                                       | 73/200 [06:43<13:07,  6.20s/it] 37%|██████████████████████▉                                       | 74/200 [06:50<13:21,  6.36s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 74 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 38%|███████████████████████▎                                      | 75/200 [06:56<12:45,  6.12s/it] 38%|███████████████████████▌                                      | 76/200 [07:05<14:30,  7.02s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 76 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 38%|███████████████████████▊                                      | 77/200 [07:10<13:31,  6.60s/it] 39%|████████████████████████▏                                     | 78/200 [07:19<14:55,  7.34s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 78 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 40%|████████████████████████▍                                     | 79/200 [07:21<11:29,  5.70s/it] 40%|████████████████████████▊                                     | 80/200 [07:30<13:10,  6.59s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 80 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 40%|█████████████████████████                                     | 81/200 [07:37<13:18,  6.71s/it] 41%|█████████████████████████▍                                    | 82/200 [07:40<11:01,  5.60s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 82 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 42%|█████████████████████████▋                                    | 83/200 [07:42<08:49,  4.53s/it] 42%|██████████████████████████                                    | 84/200 [07:46<08:16,  4.28s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 84 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 42%|██████████████████████████▎                                   | 85/200 [07:54<10:28,  5.46s/it] 43%|██████████████████████████▋                                   | 86/200 [08:00<10:36,  5.58s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 86 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 44%|██████████████████████████▉                                   | 87/200 [08:05<10:09,  5.39s/it] 44%|███████████████████████████▎                                  | 88/200 [08:11<10:30,  5.63s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 88 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 44%|███████████████████████████▌                                  | 89/200 [08:19<11:30,  6.22s/it] 45%|███████████████████████████▉                                  | 90/200 [08:27<12:37,  6.89s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 90 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 46%|████████████████████████████▏                                 | 91/200 [08:30<10:25,  5.74s/it] 46%|████████████████████████████▌                                 | 92/200 [08:36<10:36,  5.89s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 92 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 46%|████████████████████████████▊                                 | 93/200 [08:38<08:12,  4.61s/it] 47%|█████████████████████████████▏                                | 94/200 [08:54<14:25,  8.16s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 94 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 48%|█████████████████████████████▍                                | 95/200 [09:00<12:47,  7.31s/it] 48%|█████████████████████████████▊                                | 96/200 [09:07<12:46,  7.37s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 96 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 48%|██████████████████████████████                                | 97/200 [09:17<13:50,  8.06s/it] 49%|██████████████████████████████▍                               | 98/200 [09:26<14:17,  8.41s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 98 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
 50%|██████████████████████████████▋                               | 99/200 [09:35<14:25,  8.57s/it] 50%|██████████████████████████████▌                              | 100/200 [09:44<14:12,  8.53s/it]Process ID: [2457271] | Model: llama-2-7b-chat-hf | File: Education | Saving 100 items to ./fact/prompt_improvement/few-shot-cot/llama-2-7b-chat-hf/Education.json
