Process ID: [2421855] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/human_detailed/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421855] | Loading data from ./prompt_response/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421855] | Loading exist data from ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 14
   0%|                                                                       | 0/186 [00:00<?, ?it/s]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 14 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
   1%|▎                                                              | 1/186 [00:10<31:37, 10.26s/it]   1%|▋                                                              | 2/186 [00:24<38:13, 12.46s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 16 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 68%|█████████████████████████████████████████▏                   | 135/200 [31:02<15:50, 14.62s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [31:11<14:00, 13.14s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 136 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 68%|█████████████████████████████████████████▊                   | 137/200 [31:23<13:13, 12.60s/it] 69%|██████████████████████████████████████████                   | 138/200 [31:36<13:23, 12.96s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 138 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 70%|██████████████████████████████████████████▍                  | 139/200 [31:56<15:15, 15.01s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [32:10<14:48, 14.80s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 140 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 70%|███████████████████████████████████████████                  | 141/200 [32:28<15:14, 15.50s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [32:38<13:32, 14.00s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 142 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 72%|███████████████████████████████████████████▌                 | 143/200 [32:55<14:02, 14.79s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [33:07<13:04, 14.01s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 144 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 72%|████████████████████████████████████████████▏                | 145/200 [33:20<12:41, 13.84s/it] 73%|████████████████████████████████████████████▌                | 146/200 [33:44<15:11, 16.87s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 146 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 74%|████████████████████████████████████████████▊                | 147/200 [33:59<14:14, 16.13s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [34:19<15:10, 17.51s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 148 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 74%|█████████████████████████████████████████████▍               | 149/200 [34:34<14:12, 16.72s/it] 75%|█████████████████████████████████████████████▊               | 150/200 [34:50<13:46, 16.52s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 150 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 76%|██████████████████████████████████████████████               | 151/200 [35:05<12:59, 15.90s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [35:16<11:40, 14.59s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 152 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 76%|██████████████████████████████████████████████▋              | 153/200 [35:32<11:40, 14.91s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [35:49<11:54, 15.52s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 154 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 78%|███████████████████████████████████████████████▎             | 155/200 [36:02<11:02, 14.72s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [36:19<11:21, 15.49s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 156 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 78%|███████████████████████████████████████████████▉             | 157/200 [36:29<09:56, 13.87s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [36:41<09:17, 13.27s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 158 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 80%|████████████████████████████████████████████████▍            | 159/200 [36:53<08:47, 12.86s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [37:12<09:51, 14.78s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 160 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 80%|█████████████████████████████████████████████████            | 161/200 [37:30<10:11, 15.69s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [37:42<09:18, 14.71s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 162 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [37:54<08:29, 13.78s/it] 82%|██████████████████████████████████████████████████           | 164/200 [38:08<08:20, 13.90s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 164 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 82%|██████████████████████████████████████████████████▎          | 165/200 [38:26<08:44, 14.97s/it] 83%|██████████████████████████████████████████████████▋          | 166/200 [38:39<08:13, 14.52s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 166 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [38:54<07:58, 14.49s/it]Error: HTTP code 502 from API (<html>
<head><title>502 Bad Gateway</title></head>
<body>
<center><h1>502 Bad Gateway</h1></center>
<hr><center>cloudflare</center>
</body>
</html>
)
Retrying...
Error: HTTP code 502 from API (<html>
<head><title>502 Bad Gateway</title></head>
<body>
<center><h1>502 Bad Gateway</h1></center>
<hr><center>cloudflare</center>
</body>
</html>
)
Retrying...
Error: HTTP code 502 from API (<html>
<head><title>502 Bad Gateway</title></head>
<body>
<center><h1>502 Bad Gateway</h1></center>
<hr><center>cloudflare</center>
</body>
</html>
)
Retrying...
 84%|███████████████████████████████████████████████████▏         | 168/200 [40:14<18:13, 34.16s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 168 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [40:36<15:51, 30.69s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [40:46<12:07, 24.27s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 170 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [40:55<09:38, 19.94s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [41:19<09:48, 21.02s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 172 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [41:29<08:01, 17.83s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [41:44<07:19, 16.89s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 174 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 88%|█████████████████████████████████████████████████████▍       | 175/200 [42:00<06:58, 16.74s/it] 88%|█████████████████████████████████████████████████████▋       | 176/200 [42:14<06:22, 15.92s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 176 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [42:26<05:34, 14.52s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [42:36<04:53, 13.35s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 178 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [42:50<04:45, 13.60s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [43:01<04:13, 12.66s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 180 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 90%|███████████████████████████████████████████████████████▏     | 181/200 [43:19<04:28, 14.15s/it] 91%|███████████████████████████████████████████████████████▌     | 182/200 [43:34<04:19, 14.40s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 182 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [43:47<04:02, 14.24s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [44:02<03:49, 14.35s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 184 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [44:11<03:12, 12.84s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [44:34<03:39, 15.67s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 186 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 94%|█████████████████████████████████████████████████████████    | 187/200 [44:47<03:15, 15.03s/it] 94%|█████████████████████████████████████████████████████████▎   | 188/200 [45:07<03:17, 16.45s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 188 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [45:16<02:36, 14.22s/it] 95%|█████████████████████████████████████████████████████████▉   | 190/200 [45:29<02:17, 13.77s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 190 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 96%|██████████████████████████████████████████████████████████▎  | 191/200 [45:42<02:02, 13.57s/it] 96%|██████████████████████████████████████████████████████████▌  | 192/200 [46:01<02:00, 15.12s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 192 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [46:13<01:40, 14.33s/it] 97%|███████████████████████████████████████████████████████████▏ | 194/200 [46:28<01:26, 14.40s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 194 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 98%|███████████████████████████████████████████████████████████▍ | 195/200 [46:40<01:09, 13.92s/it] 98%|███████████████████████████████████████████████████████████▊ | 196/200 [46:58<00:59, 14.91s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 196 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
 98%|████████████████████████████████████████████████████████████ | 197/200 [47:14<00:46, 15.45s/it] 99%|████████████████████████████████████████████████████████████▍| 198/200 [47:32<00:32, 16.27s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 198 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
100%|████████████████████████████████████████████████████████████▋| 199/200 [47:46<00:15, 15.45s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [48:02<00:00, 15.61s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [48:02<00:00, 14.41s/it]
Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Science | Saving 200 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
Process ID: [2421855] | Exit
Process ID: [2421855] | Loading data from ./prompt_response/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Education | Saving 0 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
  0%|▎                                                              | 1/200 [00:08<29:49,  8.99s/it]  1%|▋                                                              | 2/200 [00:20<33:50, 10.25s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Education | Saving 2 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
  2%|▉                                                              | 3/200 [00:30<33:48, 10.30s/it]  2%|█▎                                                             | 4/200 [00:35<26:24,  8.08s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Education | Saving 4 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
  2%|█▌                                                             | 5/200 [00:41<23:44,  7.31s/it]Error: 该令牌额度已用尽 (request id: 20231218152137985188990JoI0tYwB)
Retrying...
Error: 该令牌额度已用尽 (request id: 20231218152143923964853ZHF3CMdL)
Retrying...
Error: 该令牌额度已用尽 (request id: 20231218152154338051174CLxPAIZh)
Retrying...
Error: 该令牌额度已用尽 (request id: 20231218152204605406370zPMUHlsX)
Retrying...
Error: 该令牌额度已用尽 (request id: 2023121815221595588359WxvGEh0W)
Retrying...
  2%|█▌                                                           | 5/200 [01:32<1:00:26, 18.59s/it]
Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Education | Saving 5 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
Process ID: [2421855] | Exit
Traceback (most recent call last):
  File "/home/chenjie/Project/fact_hallu/prompt_task_new/fact.py", line 92, in <module>
    factbot.generate_facts(
  File "/home/chenjie/Project/fact_hallu/prompt_task_new/fact.py", line 57, in generate_facts
    ans = complete_func(query, self.assist_model, **kwargs)
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/chenjie/Project/fact_hallu/prompt_task_new/response.py", line 301, in openai_complete
    raise ValueError("Failed to generate response")
ValueError: Failed to generate response
Process ID: [2457273] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/human_detailed/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2457273] | Loading data from ./prompt_response/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2457273] | Loading exist data from ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 200 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
Process ID: [2457273] | Exit
Process ID: [2457273] | Loading data from ./prompt_response/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json | Total 200
Process ID: [2457273] | Loading exist data from ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json | Total 200
Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Finance | Saving 200 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Finance.json
Process ID: [2457273] | Exit
Process ID: [2457273] | Loading data from ./prompt_response/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json | Total 200
Process ID: [2457273] | Loading exist data from ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json | Total 200
Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Science | Saving 200 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Science.json
Process ID: [2457273] | Exit
Process ID: [2457273] | Loading data from ./prompt_response/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json | Total 200
Process ID: [2457273] | Loading exist data from ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json | Total 5
  0%|                                                                       | 0/195 [00:00<?, ?it/s]  1%|▎                                                              | 1/195 [00:01<05:10,  1.60s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 6 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
  1%|▋                                                              | 2/195 [00:09<16:18,  5.07s/it]  2%|▉                                                              | 3/195 [00:15<17:52,  5.59s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 8 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
  2%|█▎                                                             | 4/195 [00:21<18:54,  5.94s/it]  3%|█▌                                                             | 5/195 [00:26<17:35,  5.55s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 10 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
  3%|█▉                                                             | 6/195 [00:31<16:25,  5.22s/it]  4%|██▎                                                            | 7/195 [00:36<16:19,  5.21s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 12 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
  4%|██▌                                                            | 8/195 [00:42<17:04,  5.48s/it]  5%|██▉                                                            | 9/195 [00:46<15:53,  5.13s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 14 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
  5%|███▏                                                          | 10/195 [00:50<14:34,  4.73s/it]  6%|███▍                                                          | 11/195 [00:56<15:38,  5.10s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 16 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
  6%|███▊                                                          | 12/195 [00:58<12:12,  4.00s/it]  7%|████▏                                                         | 13/195 [00:58<09:10,  3.02s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 18 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
  7%|████▍                                                         | 14/195 [00:59<07:06,  2.35s/it]  8%|████▊                                                         | 15/195 [01:00<05:35,  1.87s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 20 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
  8%|█████                                                         | 16/195 [01:18<19:49,  6.65s/it]  9%|█████▍                                                        | 17/195 [01:18<14:26,  4.87s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 22 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
  9%|█████▋                                                        | 18/195 [01:19<10:44,  3.64s/it] 10%|██████                                                        | 19/195 [01:25<12:28,  4.25s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 24 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 10%|██████▎                                                       | 20/195 [01:26<09:19,  3.20s/it] 11%|██████▋                                                       | 21/195 [01:32<12:19,  4.25s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 26 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 11%|██████▉                                                       | 22/195 [01:34<09:51,  3.42s/it] 12%|███████▎                                                      | 23/195 [01:35<08:16,  2.88s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 28 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 12%|███████▋                                                      | 24/195 [01:36<06:39,  2.34s/it] 13%|███████▉                                                      | 25/195 [01:37<05:19,  1.88s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 30 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 13%|████████▎                                                     | 26/195 [01:44<09:41,  3.44s/it] 14%|████████▌                                                     | 27/195 [01:49<10:57,  3.91s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 32 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 14%|████████▉                                                     | 28/195 [01:56<13:08,  4.72s/it] 15%|█████████▏                                                    | 29/195 [02:00<12:49,  4.64s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 34 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 15%|█████████▌                                                    | 30/195 [02:04<12:12,  4.44s/it] 16%|█████████▊                                                    | 31/195 [02:05<09:24,  3.44s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 36 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 16%|██████████▏                                                   | 32/195 [02:08<08:51,  3.26s/it] 17%|██████████▍                                                   | 33/195 [02:22<17:25,  6.45s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 38 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 17%|██████████▊                                                   | 34/195 [02:28<16:27,  6.13s/it] 18%|███████████▏                                                  | 35/195 [02:35<17:31,  6.57s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 40 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 18%|███████████▍                                                  | 36/195 [02:40<16:06,  6.08s/it] 19%|███████████▊                                                  | 37/195 [02:45<14:39,  5.57s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 42 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 19%|████████████                                                  | 38/195 [02:48<13:11,  5.04s/it] 20%|████████████▍                                                 | 39/195 [02:54<13:28,  5.18s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 44 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 21%|████████████▋                                                 | 40/195 [03:00<13:51,  5.37s/it] 21%|█████████████                                                 | 41/195 [03:01<10:49,  4.22s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 46 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 22%|█████████████▎                                                | 42/195 [03:03<09:11,  3.61s/it] 22%|█████████████▋                                                | 43/195 [03:04<06:57,  2.74s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 48 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 23%|█████████████▉                                                | 44/195 [03:07<07:21,  2.92s/it] 23%|██████████████▎                                               | 45/195 [03:16<11:36,  4.64s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 50 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 24%|██████████████▋                                               | 46/195 [03:28<16:40,  6.71s/it] 24%|██████████████▉                                               | 47/195 [03:28<12:06,  4.91s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 52 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 25%|███████████████▎                                              | 48/195 [03:33<12:08,  4.95s/it] 25%|███████████████▌                                              | 49/195 [03:37<11:16,  4.63s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 54 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 26%|███████████████▉                                              | 50/195 [03:43<11:41,  4.84s/it] 26%|████████████████▏                                             | 51/195 [03:48<11:51,  4.94s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 56 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 27%|████████████████▌                                             | 52/195 [03:55<13:17,  5.58s/it] 27%|████████████████▊                                             | 53/195 [04:05<16:32,  6.99s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 58 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 28%|█████████████████▏                                            | 54/195 [04:06<12:21,  5.26s/it] 28%|█████████████████▍                                            | 55/195 [04:11<12:03,  5.16s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 60 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 29%|█████████████████▊                                            | 56/195 [04:15<10:53,  4.70s/it] 29%|██████████████████                                            | 57/195 [04:16<08:13,  3.58s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 62 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 30%|██████████████████▍                                           | 58/195 [04:20<08:43,  3.82s/it] 30%|██████████████████▊                                           | 59/195 [04:31<13:05,  5.78s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 64 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 31%|███████████████████                                           | 60/195 [04:34<11:38,  5.18s/it] 31%|███████████████████▍                                          | 61/195 [04:40<11:58,  5.36s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 66 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 32%|███████████████████▋                                          | 62/195 [04:45<11:49,  5.33s/it] 32%|████████████████████                                          | 63/195 [04:52<12:45,  5.80s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 68 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 33%|████████████████████▎                                         | 64/195 [05:00<13:36,  6.23s/it] 33%|████████████████████▋                                         | 65/195 [05:02<10:53,  5.03s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 70 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 34%|████████████████████▉                                         | 66/195 [05:03<08:17,  3.85s/it] 34%|█████████████████████▎                                        | 67/195 [05:06<08:02,  3.77s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 72 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 35%|█████████████████████▌                                        | 68/195 [05:07<06:07,  2.90s/it] 35%|█████████████████████▉                                        | 69/195 [05:13<07:48,  3.72s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 74 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
 36%|██████████████████████▎                                       | 70/195 [05:18<08:51,  4.25s/it] 36%|██████████████████████▌                                       | 71/195 [05:22<08:28,  4.10s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Education | Saving 76 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Education.json
