Process ID: [2421854] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/refine-q/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421854] | Loading data from ./prompt_response/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421854] | Loading exist data from ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json | Total 2
  0%|                                                                       | 0/198 [00:00<?, ?it/s]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
  1%|▎                                                              | 1/198 [00:09<32:35,  9.93s/it]  1%|▋                                                              | 2/198 [00:20<33:19, 10.20s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 4 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Bio-Medical.json
 62%|█████████████████████████████████████▌                       | 123/200 [20:42<12:26,  9.70s/it] 62%|█████████████████████████████████████▊                       | 124/200 [21:00<15:19, 12.09s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 124 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 62%|██████████████████████████████████████▏                      | 125/200 [21:01<10:53,  8.71s/it] 63%|██████████████████████████████████████▍                      | 126/200 [21:13<12:07,  9.84s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 126 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 64%|██████████████████████████████████████▋                      | 127/200 [21:21<11:06,  9.13s/it] 64%|███████████████████████████████████████                      | 128/200 [21:28<10:26,  8.69s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 128 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 64%|███████████████████████████████████████▎                     | 129/200 [21:45<13:06, 11.08s/it] 65%|███████████████████████████████████████▋                     | 130/200 [21:51<11:20,  9.72s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 130 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 66%|███████████████████████████████████████▉                     | 131/200 [22:09<13:46, 11.99s/it] 66%|████████████████████████████████████████▎                    | 132/200 [22:17<12:24, 10.95s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 132 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 66%|████████████████████████████████████████▌                    | 133/200 [22:27<11:46, 10.54s/it] 67%|████████████████████████████████████████▊                    | 134/200 [22:28<08:30,  7.74s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 134 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 68%|█████████████████████████████████████████▏                   | 135/200 [22:40<09:48,  9.05s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [22:47<08:48,  8.25s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 136 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 68%|█████████████████████████████████████████▊                   | 137/200 [23:02<10:58, 10.45s/it] 69%|██████████████████████████████████████████                   | 138/200 [23:03<07:53,  7.64s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 138 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 70%|██████████████████████████████████████████▍                  | 139/200 [23:04<05:44,  5.65s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [23:13<06:41,  6.69s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 140 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 70%|███████████████████████████████████████████                  | 141/200 [23:21<07:00,  7.13s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [23:32<07:45,  8.02s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 142 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 72%|███████████████████████████████████████████▌                 | 143/200 [23:44<08:46,  9.23s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [23:56<09:37, 10.30s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 144 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 72%|████████████████████████████████████████████▏                | 145/200 [24:09<10:08, 11.06s/it] 73%|████████████████████████████████████████████▌                | 146/200 [24:21<10:08, 11.27s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 146 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 74%|████████████████████████████████████████████▊                | 147/200 [24:34<10:27, 11.83s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [24:42<09:08, 10.54s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 148 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 74%|█████████████████████████████████████████████▍               | 149/200 [24:49<08:12,  9.67s/it] 75%|█████████████████████████████████████████████▊               | 150/200 [24:50<05:51,  7.03s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 150 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 76%|██████████████████████████████████████████████               | 151/200 [24:55<05:18,  6.50s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [25:05<05:55,  7.40s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 152 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 76%|██████████████████████████████████████████████▋              | 153/200 [25:13<06:03,  7.74s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [25:32<08:26, 11.00s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 154 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 78%|███████████████████████████████████████████████▎             | 155/200 [25:36<06:43,  8.96s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [25:46<06:46,  9.23s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 156 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 78%|███████████████████████████████████████████████▉             | 157/200 [25:58<07:12, 10.05s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [26:08<06:57,  9.95s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 158 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 80%|████████████████████████████████████████████████▍            | 159/200 [26:19<07:06, 10.41s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [26:25<06:05,  9.14s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 160 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 80%|█████████████████████████████████████████████████            | 161/200 [26:36<06:13,  9.58s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [26:44<05:45,  9.10s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 162 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [26:53<05:36,  9.10s/it] 82%|██████████████████████████████████████████████████           | 164/200 [27:06<06:06, 10.17s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 164 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 82%|██████████████████████████████████████████████████▎          | 165/200 [27:18<06:12, 10.65s/it] 83%|██████████████████████████████████████████████████▋          | 166/200 [27:33<06:50, 12.09s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 166 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [27:44<06:22, 11.60s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [27:53<05:48, 10.88s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 168 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [28:04<05:44, 11.13s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [28:21<06:26, 12.88s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 170 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [28:33<05:59, 12.40s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [28:44<05:42, 12.22s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 172 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [28:57<05:35, 12.44s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [29:07<05:00, 11.56s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 174 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 88%|█████████████████████████████████████████████████████▍       | 175/200 [29:17<04:41, 11.26s/it] 88%|█████████████████████████████████████████████████████▋       | 176/200 [29:25<04:02, 10.09s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 176 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [29:37<04:04, 10.62s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [29:44<03:34,  9.76s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 178 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [29:56<03:38, 10.42s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [30:02<02:59,  8.98s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 180 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 90%|███████████████████████████████████████████████████████▏     | 181/200 [30:18<03:27, 10.93s/it] 91%|███████████████████████████████████████████████████████▌     | 182/200 [30:26<03:03, 10.20s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 182 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [30:37<02:57, 10.43s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [30:56<03:27, 12.99s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 184 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [31:10<03:17, 13.18s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [31:23<03:06, 13.32s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 186 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 94%|█████████████████████████████████████████████████████████    | 187/200 [31:32<02:35, 11.98s/it] 94%|█████████████████████████████████████████████████████████▎   | 188/200 [31:50<02:45, 13.78s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 188 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [31:59<02:14, 12.25s/it] 95%|█████████████████████████████████████████████████████████▉   | 190/200 [32:06<01:46, 10.66s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 190 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 96%|██████████████████████████████████████████████████████████▎  | 191/200 [32:13<01:26,  9.66s/it] 96%|██████████████████████████████████████████████████████████▌  | 192/200 [32:26<01:25, 10.65s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 192 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [32:36<01:13, 10.46s/it] 97%|███████████████████████████████████████████████████████████▏ | 194/200 [32:45<00:59,  9.97s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 194 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 98%|███████████████████████████████████████████████████████████▍ | 195/200 [32:55<00:49,  9.91s/it] 98%|███████████████████████████████████████████████████████████▊ | 196/200 [33:05<00:40, 10.01s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 196 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
 98%|████████████████████████████████████████████████████████████ | 197/200 [33:10<00:25,  8.44s/it] 99%|████████████████████████████████████████████████████████████▍| 198/200 [33:20<00:18,  9.02s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 198 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
100%|████████████████████████████████████████████████████████████▋| 199/200 [33:27<00:08,  8.55s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [33:36<00:00,  8.70s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [33:36<00:00, 10.08s/it]
Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Finance | Saving 200 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Finance.json
Process ID: [2421854] | Exit
Process ID: [2421854] | Loading data from ./prompt_response/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 0 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
  0%|▎                                                              | 1/200 [00:11<36:35, 11.03s/it]  1%|▋                                                              | 2/200 [00:27<46:47, 14.18s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 2 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
  2%|▉                                                              | 3/200 [00:40<44:48, 13.65s/it]  2%|█▎                                                             | 4/200 [00:52<41:57, 12.85s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 4 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
  2%|█▌                                                             | 5/200 [01:11<49:54, 15.36s/it]  3%|█▉                                                             | 6/200 [01:22<44:41, 13.82s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 6 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
  4%|██▏                                                            | 7/200 [01:35<42:51, 13.33s/it]  4%|██▌                                                            | 8/200 [01:49<43:33, 13.61s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 8 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
  4%|██▊                                                            | 9/200 [02:05<46:21, 14.56s/it]  5%|███                                                           | 10/200 [02:29<55:00, 17.37s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 10 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
  6%|███▍                                                          | 11/200 [02:42<50:39, 16.08s/it]  6%|███▋                                                          | 12/200 [02:56<48:28, 15.47s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 12 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
  6%|████                                                          | 13/200 [03:13<49:03, 15.74s/it]  7%|████▎                                                         | 14/200 [03:26<46:15, 14.92s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 14 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
  8%|████▌                                                       | 15/200 [03:56<1:00:02, 19.47s/it]  8%|████▉                                                         | 16/200 [04:06<51:20, 16.74s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 16 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
  8%|█████▎                                                        | 17/200 [04:24<51:45, 16.97s/it]  9%|█████▌                                                        | 18/200 [04:33<44:39, 14.72s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 18 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 10%|█████▉                                                        | 19/200 [04:48<44:19, 14.69s/it] 10%|██████▏                                                       | 20/200 [05:10<51:17, 17.10s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 20 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 10%|██████▌                                                       | 21/200 [05:22<46:32, 15.60s/it] 11%|██████▊                                                       | 22/200 [05:35<43:16, 14.59s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 22 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 12%|███████▏                                                      | 23/200 [05:43<37:48, 12.82s/it] 12%|███████▍                                                      | 24/200 [05:52<33:50, 11.54s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 24 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 12%|███████▊                                                      | 25/200 [06:06<36:02, 12.36s/it] 13%|████████                                                      | 26/200 [06:17<34:12, 11.80s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 26 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 14%|████████▎                                                     | 27/200 [06:34<39:02, 13.54s/it] 14%|████████▋                                                     | 28/200 [06:52<42:02, 14.67s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 28 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 14%|████████▉                                                     | 29/200 [07:12<46:57, 16.48s/it] 15%|█████████▎                                                    | 30/200 [07:25<43:04, 15.20s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 30 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 16%|█████████▌                                                    | 31/200 [07:33<36:44, 13.04s/it] 16%|█████████▉                                                    | 32/200 [07:46<36:56, 13.19s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 32 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 16%|██████████▏                                                   | 33/200 [08:01<38:01, 13.66s/it] 17%|██████████▌                                                   | 34/200 [08:10<34:00, 12.29s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 34 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 18%|██████████▊                                                   | 35/200 [08:23<34:25, 12.52s/it] 18%|███████████▏                                                  | 36/200 [08:40<37:40, 13.78s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 36 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 18%|███████████▍                                                  | 37/200 [08:50<34:55, 12.85s/it] 19%|███████████▊                                                  | 38/200 [09:01<32:46, 12.14s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 38 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 20%|████████████                                                  | 39/200 [09:19<37:41, 14.05s/it] 20%|████████████▍                                                 | 40/200 [09:29<34:08, 12.81s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 40 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 20%|████████████▋                                                 | 41/200 [09:39<31:30, 11.89s/it] 21%|█████████████                                                 | 42/200 [09:50<30:22, 11.54s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 42 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 22%|█████████████▎                                                | 43/200 [10:02<30:58, 11.84s/it] 22%|█████████████▋                                                | 44/200 [10:23<37:44, 14.52s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 44 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 22%|█████████████▉                                                | 45/200 [10:36<36:34, 14.16s/it] 23%|██████████████▎                                               | 46/200 [10:46<33:03, 12.88s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 46 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 24%|██████████████▌                                               | 47/200 [11:06<37:57, 14.89s/it] 24%|██████████████▉                                               | 48/200 [11:19<36:37, 14.46s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 48 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 24%|███████████████▏                                              | 49/200 [11:33<36:05, 14.34s/it] 25%|███████████████▌                                              | 50/200 [11:47<35:36, 14.24s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 50 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 26%|███████████████▊                                              | 51/200 [12:02<35:53, 14.46s/it] 26%|████████████████                                              | 52/200 [12:17<35:29, 14.39s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 52 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 26%|████████████████▍                                             | 53/200 [12:31<35:11, 14.37s/it] 27%|████████████████▋                                             | 54/200 [12:50<38:27, 15.80s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 54 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 28%|█████████████████                                             | 55/200 [13:17<46:09, 19.10s/it] 28%|█████████████████▎                                            | 56/200 [13:31<42:34, 17.74s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 56 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 28%|█████████████████▋                                            | 57/200 [13:44<38:49, 16.29s/it] 29%|█████████████████▉                                            | 58/200 [13:55<34:45, 14.68s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 58 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 30%|██████████████████▎                                           | 59/200 [14:05<30:45, 13.09s/it] 30%|██████████████████▌                                           | 60/200 [14:14<27:41, 11.87s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 60 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 30%|██████████████████▉                                           | 61/200 [14:28<29:05, 12.56s/it] 31%|███████████████████▏                                          | 62/200 [14:44<31:08, 13.54s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 62 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 32%|███████████████████▌                                          | 63/200 [15:06<36:37, 16.04s/it] 32%|███████████████████▊                                          | 64/200 [15:16<32:44, 14.44s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 64 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 32%|████████████████████▏                                         | 65/200 [15:27<30:03, 13.36s/it] 33%|████████████████████▍                                         | 66/200 [15:41<30:23, 13.61s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 66 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 34%|████████████████████▊                                         | 67/200 [16:00<33:35, 15.16s/it] 34%|█████████████████████                                         | 68/200 [16:14<32:25, 14.74s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 68 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 34%|█████████████████████▍                                        | 69/200 [16:25<29:47, 13.64s/it] 35%|█████████████████████▋                                        | 70/200 [16:35<27:08, 12.53s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 70 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 36%|██████████████████████                                        | 71/200 [16:43<24:10, 11.25s/it] 36%|██████████████████████▎                                       | 72/200 [16:52<22:24, 10.50s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 72 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 36%|██████████████████████▋                                       | 73/200 [17:05<24:09, 11.41s/it] 37%|██████████████████████▉                                       | 74/200 [17:18<24:46, 11.80s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 74 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 38%|███████████████████████▎                                      | 75/200 [17:33<26:35, 12.76s/it] 38%|███████████████████████▌                                      | 76/200 [17:41<23:13, 11.24s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 76 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 38%|███████████████████████▊                                      | 77/200 [17:53<23:55, 11.67s/it] 39%|████████████████████████▏                                     | 78/200 [18:08<25:20, 12.47s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 78 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 40%|████████████████████████▍                                     | 79/200 [18:20<24:56, 12.37s/it] 40%|████████████████████████▊                                     | 80/200 [18:33<25:12, 12.60s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 80 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 40%|█████████████████████████                                     | 81/200 [18:51<28:19, 14.28s/it] 41%|█████████████████████████▍                                    | 82/200 [19:02<26:08, 13.29s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 82 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 42%|█████████████████████████▋                                    | 83/200 [19:21<28:51, 14.79s/it] 42%|██████████████████████████                                    | 84/200 [19:41<31:57, 16.53s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 84 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 42%|██████████████████████████▎                                   | 85/200 [19:53<29:08, 15.20s/it] 43%|██████████████████████████▋                                   | 86/200 [20:03<25:42, 13.53s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 86 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
 44%|██████████████████████████▉                                   | 87/200 [20:20<27:45, 14.74s/it] 44%|███████████████████████████▎                                  | 88/200 [21:01<41:49, 22.40s/it]Process ID: [2421854] | Model: llama-2-7b-chat-hf | File: Science | Saving 88 items to ./fact/prompt_improvement/refine-q/llama-2-7b-chat-hf/Science.json
