Process ID: [2421852] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421852] | Loading data from ./prompt_response/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421852] | Loading exist data from ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json | Total 0
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:16<55:44, 16.81s/it]  1%|▋                                                              | 2/200 [00:23<35:31, 10.77s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Bio-Medical.json
 57%|███████████████████████████████████                          | 115/200 [20:32<15:52, 11.21s/it] 58%|███████████████████████████████████▍                         | 116/200 [20:43<15:23, 11.00s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 116 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 58%|███████████████████████████████████▋                         | 117/200 [20:49<13:06,  9.48s/it] 59%|███████████████████████████████████▉                         | 118/200 [21:04<15:14, 11.15s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 118 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 60%|████████████████████████████████████▎                        | 119/200 [21:10<13:01,  9.64s/it] 60%|████████████████████████████████████▌                        | 120/200 [21:19<12:34,  9.43s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 120 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 60%|████████████████████████████████████▉                        | 121/200 [21:28<12:12,  9.27s/it] 61%|█████████████████████████████████████▏                       | 122/200 [21:49<16:39, 12.82s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 122 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 62%|█████████████████████████████████████▌                       | 123/200 [21:59<15:27, 12.04s/it] 62%|█████████████████████████████████████▊                       | 124/200 [22:14<16:12, 12.80s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 124 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 62%|██████████████████████████████████████▏                      | 125/200 [22:31<17:43, 14.18s/it] 63%|██████████████████████████████████████▍                      | 126/200 [22:43<16:42, 13.55s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 126 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 64%|██████████████████████████████████████▋                      | 127/200 [22:59<17:16, 14.20s/it] 64%|███████████████████████████████████████                      | 128/200 [23:08<15:19, 12.77s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 128 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 64%|███████████████████████████████████████▎                     | 129/200 [23:28<17:33, 14.84s/it] 65%|███████████████████████████████████████▋                     | 130/200 [23:55<21:41, 18.59s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 130 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 66%|███████████████████████████████████████▉                     | 131/200 [24:07<19:10, 16.68s/it] 66%|████████████████████████████████████████▎                    | 132/200 [24:17<16:32, 14.59s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 132 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 66%|████████████████████████████████████████▌                    | 133/200 [24:29<15:24, 13.80s/it] 67%|████████████████████████████████████████▊                    | 134/200 [24:30<10:57,  9.96s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 134 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 68%|█████████████████████████████████████████▏                   | 135/200 [24:42<11:20, 10.47s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [24:51<10:51, 10.18s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 136 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 68%|█████████████████████████████████████████▊                   | 137/200 [25:15<14:57, 14.25s/it] 69%|██████████████████████████████████████████                   | 138/200 [25:28<14:25, 13.96s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 138 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 70%|██████████████████████████████████████████▍                  | 139/200 [25:29<10:12, 10.04s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [25:42<10:58, 10.97s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 140 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 70%|███████████████████████████████████████████                  | 141/200 [25:43<07:50,  7.97s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [25:54<08:32,  8.84s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 142 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 72%|███████████████████████████████████████████▌                 | 143/200 [26:03<08:23,  8.83s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [26:15<09:12,  9.86s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 144 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 72%|████████████████████████████████████████████▏                | 145/200 [26:17<06:42,  7.31s/it] 73%|████████████████████████████████████████████▌                | 146/200 [26:38<10:25, 11.58s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 146 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 74%|████████████████████████████████████████████▊                | 147/200 [27:10<15:44, 17.82s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [27:25<14:39, 16.91s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 148 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 74%|█████████████████████████████████████████████▍               | 149/200 [27:38<13:18, 15.66s/it] 75%|█████████████████████████████████████████████▊               | 150/200 [27:50<12:02, 14.45s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 150 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 76%|██████████████████████████████████████████████               | 151/200 [27:59<10:28, 12.83s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [28:08<09:23, 11.74s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 152 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 76%|██████████████████████████████████████████████▋              | 153/200 [28:15<08:06, 10.35s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [28:25<07:54, 10.32s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 154 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 78%|███████████████████████████████████████████████▎             | 155/200 [28:34<07:24,  9.88s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [28:42<06:46,  9.24s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 156 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 78%|███████████████████████████████████████████████▉             | 157/200 [28:58<08:07, 11.33s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [29:00<05:56,  8.49s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 158 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 80%|████████████████████████████████████████████████▍            | 159/200 [29:13<06:44,  9.86s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [29:20<05:56,  8.91s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 160 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 80%|█████████████████████████████████████████████████            | 161/200 [29:32<06:27,  9.94s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [29:41<06:06,  9.64s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 162 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [29:50<05:46,  9.36s/it] 82%|██████████████████████████████████████████████████           | 164/200 [29:58<05:22,  8.97s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 164 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 82%|██████████████████████████████████████████████████▎          | 165/200 [30:07<05:15,  9.01s/it] 83%|██████████████████████████████████████████████████▋          | 166/200 [30:15<05:00,  8.83s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 166 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [30:27<05:16,  9.60s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [30:40<05:40, 10.64s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 168 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [30:48<05:07,  9.91s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [31:01<05:23, 10.78s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 170 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [31:12<05:17, 10.95s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [31:26<05:28, 11.74s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 172 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [31:37<05:14, 11.65s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [31:49<05:07, 11.81s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 174 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 88%|█████████████████████████████████████████████████████▍       | 175/200 [31:56<04:18, 10.34s/it] 88%|█████████████████████████████████████████████████████▋       | 176/200 [32:16<05:14, 13.10s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 176 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [32:24<04:28, 11.67s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [32:32<03:51, 10.51s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 178 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [32:47<04:12, 12.04s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [32:57<03:44, 11.21s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 180 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 90%|███████████████████████████████████████████████████████▏     | 181/200 [33:08<03:31, 11.11s/it] 91%|███████████████████████████████████████████████████████▌     | 182/200 [33:17<03:10, 10.56s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 182 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [33:32<03:22, 11.90s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [33:42<03:00, 11.30s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 184 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [33:50<02:34, 10.31s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [34:05<02:46, 11.91s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 186 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 94%|█████████████████████████████████████████████████████████    | 187/200 [34:19<02:42, 12.50s/it] 94%|█████████████████████████████████████████████████████████▎   | 188/200 [34:39<02:55, 14.65s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 188 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [34:50<02:30, 13.69s/it] 95%|█████████████████████████████████████████████████████████▉   | 190/200 [34:59<02:01, 12.13s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 190 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 96%|██████████████████████████████████████████████████████████▎  | 191/200 [35:29<02:38, 17.58s/it] 96%|██████████████████████████████████████████████████████████▌  | 192/200 [35:41<02:06, 15.81s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 192 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [35:53<01:42, 14.65s/it] 97%|███████████████████████████████████████████████████████████▏ | 194/200 [36:05<01:22, 13.81s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 194 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 98%|███████████████████████████████████████████████████████████▍ | 195/200 [36:19<01:10, 14.09s/it] 98%|███████████████████████████████████████████████████████████▊ | 196/200 [36:28<00:49, 12.45s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 196 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
 98%|████████████████████████████████████████████████████████████ | 197/200 [36:35<00:32, 10.90s/it] 99%|████████████████████████████████████████████████████████████▍| 198/200 [36:44<00:20, 10.36s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 198 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
100%|████████████████████████████████████████████████████████████▋| 199/200 [36:56<00:10, 10.65s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [37:06<00:00, 10.54s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [37:06<00:00, 11.13s/it]
Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Finance | Saving 200 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Finance.json
Process ID: [2421852] | Exit
Process ID: [2421852] | Loading data from ./prompt_response/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 0 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
  0%|▎                                                              | 1/200 [00:11<38:43, 11.67s/it]  1%|▋                                                              | 2/200 [00:22<37:23, 11.33s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 2 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
  2%|▉                                                              | 3/200 [00:23<21:41,  6.61s/it]  2%|█▎                                                             | 4/200 [00:36<29:58,  9.17s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 4 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
  2%|█▌                                                             | 5/200 [00:38<20:49,  6.41s/it]  3%|█▉                                                             | 6/200 [00:51<28:08,  8.70s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 6 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
  4%|██▏                                                            | 7/200 [01:03<31:15,  9.72s/it]  4%|██▌                                                            | 8/200 [01:26<44:52, 14.02s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 8 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
  4%|██▊                                                            | 9/200 [01:39<44:02, 13.83s/it]  5%|███                                                           | 10/200 [01:42<33:06, 10.46s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 10 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
  6%|███▍                                                          | 11/200 [01:54<34:27, 10.94s/it]  6%|███▋                                                          | 12/200 [02:07<35:55, 11.47s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 12 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
  6%|████                                                          | 13/200 [02:14<31:43, 10.18s/it]  7%|████▎                                                         | 14/200 [02:24<31:24, 10.13s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 14 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
  8%|████▋                                                         | 15/200 [02:41<37:27, 12.15s/it]  8%|████▉                                                         | 16/200 [02:50<34:33, 11.27s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 16 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
  8%|█████▎                                                        | 17/200 [03:06<38:27, 12.61s/it]  9%|█████▌                                                        | 18/200 [03:18<37:38, 12.41s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 18 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 10%|█████▉                                                        | 19/200 [03:33<39:26, 13.08s/it] 10%|██████▏                                                       | 20/200 [03:55<47:48, 15.94s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 20 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 10%|██████▌                                                       | 21/200 [04:08<44:28, 14.91s/it] 11%|██████▊                                                       | 22/200 [04:21<42:48, 14.43s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 22 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 12%|███████▏                                                      | 23/200 [04:41<47:03, 15.95s/it] 12%|███████▍                                                      | 24/200 [04:48<39:32, 13.48s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 24 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 12%|███████▊                                                      | 25/200 [05:03<40:10, 13.78s/it] 13%|████████                                                      | 26/200 [05:22<44:20, 15.29s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 26 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 14%|████████▎                                                     | 27/200 [05:35<42:33, 14.76s/it] 14%|████████▋                                                     | 28/200 [05:47<40:05, 13.99s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 28 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 14%|████████▉                                                     | 29/200 [06:01<39:35, 13.89s/it] 15%|█████████▎                                                    | 30/200 [06:12<37:06, 13.10s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 30 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 16%|█████████▌                                                    | 31/200 [06:21<33:16, 11.81s/it] 16%|█████████▉                                                    | 32/200 [06:31<31:29, 11.25s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 32 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 16%|██████████▏                                                   | 33/200 [06:46<34:10, 12.28s/it] 17%|██████████▌                                                   | 34/200 [06:59<34:49, 12.59s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 34 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 18%|██████████▊                                                   | 35/200 [07:00<25:17,  9.20s/it] 18%|███████████▏                                                  | 36/200 [07:13<27:58, 10.23s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 36 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 18%|███████████▍                                                  | 37/200 [07:25<29:02, 10.69s/it] 19%|███████████▊                                                  | 38/200 [07:35<28:51, 10.69s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 38 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 20%|████████████                                                  | 39/200 [07:48<30:16, 11.28s/it] 20%|████████████▍                                                 | 40/200 [08:17<44:24, 16.66s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 40 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 20%|████████████▋                                                 | 41/200 [08:30<41:06, 15.51s/it] 21%|█████████████                                                 | 42/200 [08:52<45:54, 17.43s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 42 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 22%|█████████████▎                                                | 43/200 [09:11<46:38, 17.82s/it] 22%|█████████████▋                                                | 44/200 [09:32<48:46, 18.76s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 44 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 22%|█████████████▉                                                | 45/200 [09:49<47:23, 18.34s/it] 23%|██████████████▎                                               | 46/200 [10:01<42:17, 16.48s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 46 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 24%|██████████████▌                                               | 47/200 [10:17<41:33, 16.30s/it] 24%|██████████████▉                                               | 48/200 [10:33<40:52, 16.13s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 48 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 24%|███████████████▏                                              | 49/200 [11:02<50:44, 20.16s/it] 25%|███████████████▌                                              | 50/200 [11:18<47:09, 18.86s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 50 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 26%|███████████████▊                                              | 51/200 [11:40<49:05, 19.77s/it] 26%|████████████████                                              | 52/200 [11:49<40:56, 16.60s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 52 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 26%|████████████████▍                                             | 53/200 [12:03<38:24, 15.68s/it] 27%|████████████████▋                                             | 54/200 [12:11<32:49, 13.49s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 54 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 28%|█████████████████                                             | 55/200 [12:25<32:32, 13.47s/it] 28%|█████████████████▎                                            | 56/200 [12:39<33:02, 13.76s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 56 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 28%|█████████████████▋                                            | 57/200 [12:58<36:20, 15.24s/it] 29%|█████████████████▉                                            | 58/200 [13:09<32:54, 13.90s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 58 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 30%|██████████████████▎                                           | 59/200 [13:21<31:24, 13.36s/it] 30%|██████████████████▌                                           | 60/200 [13:28<26:41, 11.44s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 60 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 30%|██████████████████▉                                           | 61/200 [13:38<25:31, 11.02s/it] 31%|███████████████████▏                                          | 62/200 [13:44<22:24,  9.74s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 62 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 32%|███████████████████▌                                          | 63/200 [13:52<20:56,  9.17s/it] 32%|███████████████████▊                                          | 64/200 [14:02<21:30,  9.49s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 64 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 32%|████████████████████▏                                         | 65/200 [14:14<22:30, 10.01s/it] 33%|████████████████████▍                                         | 66/200 [14:43<34:59, 15.67s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 66 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 34%|████████████████████▊                                         | 67/200 [15:03<37:45, 17.04s/it] 34%|█████████████████████                                         | 68/200 [15:10<30:55, 14.06s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 68 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 34%|█████████████████████▍                                        | 69/200 [15:24<30:26, 13.94s/it] 35%|█████████████████████▋                                        | 70/200 [15:40<31:41, 14.63s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 70 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 36%|██████████████████████                                        | 71/200 [15:41<22:54, 10.66s/it] 36%|██████████████████████▎                                       | 72/200 [15:55<24:34, 11.52s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 72 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 36%|██████████████████████▋                                       | 73/200 [16:04<23:15, 10.98s/it] 37%|██████████████████████▉                                       | 74/200 [16:16<23:21, 11.12s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 74 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
 38%|███████████████████████▎                                      | 75/200 [16:28<24:01, 11.53s/it] 38%|███████████████████████▌                                      | 76/200 [16:43<25:41, 12.43s/it]Process ID: [2421852] | Model: llama-2-7b-chat-hf | File: Science | Saving 76 items to ./fact/prompt_improvement/0-shot-cot/llama-2-7b-chat-hf/Science.json
