Process ID: [2421856] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/model_detailed/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421856] | Loading data from ./prompt_response/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421856] | Loading exist data from ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 14
  0%|                                                                       | 0/186 [00:00<?, ?it/s]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 14 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
  1%|▎                                                              | 1/186 [00:13<40:14, 13.05s/it]  1%|▋                                                              | 2/186 [00:22<32:37, 10.64s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 16 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 66%|████████████████████████████████████████▌                    | 133/200 [24:03<13:53, 12.44s/it] 67%|████████████████████████████████████████▊                    | 134/200 [24:04<09:55,  9.02s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 134 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 68%|█████████████████████████████████████████▏                   | 135/200 [24:17<11:11, 10.33s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [24:23<09:30,  8.92s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 136 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 68%|█████████████████████████████████████████▊                   | 137/200 [24:32<09:22,  8.93s/it] 69%|██████████████████████████████████████████                   | 138/200 [24:41<09:20,  9.03s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 138 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 70%|██████████████████████████████████████████▍                  | 139/200 [24:48<08:33,  8.42s/it] 70%|██████████████████████████████████████████▋                  | 140/200 [25:01<09:39,  9.66s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 140 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 70%|███████████████████████████████████████████                  | 141/200 [25:06<08:07,  8.27s/it] 71%|███████████████████████████████████████████▎                 | 142/200 [25:14<08:03,  8.33s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 142 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 72%|███████████████████████████████████████████▌                 | 143/200 [25:22<07:45,  8.17s/it] 72%|███████████████████████████████████████████▉                 | 144/200 [25:42<10:58, 11.76s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 144 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 72%|████████████████████████████████████████████▏                | 145/200 [25:49<09:27, 10.33s/it] 73%|████████████████████████████████████████████▌                | 146/200 [26:06<11:05, 12.33s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 146 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 74%|████████████████████████████████████████████▊                | 147/200 [26:18<10:43, 12.14s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [26:27<09:46, 11.28s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 148 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 74%|█████████████████████████████████████████████▍               | 149/200 [26:29<07:06,  8.36s/it] 75%|█████████████████████████████████████████████▊               | 150/200 [26:42<08:13,  9.88s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 150 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 76%|██████████████████████████████████████████████               | 151/200 [26:51<07:47,  9.54s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [27:02<08:07, 10.16s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 152 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 76%|██████████████████████████████████████████████▋              | 153/200 [27:13<07:58, 10.18s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [27:27<08:51, 11.55s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 154 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 78%|███████████████████████████████████████████████▎             | 155/200 [27:48<10:44, 14.32s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [28:01<10:14, 13.96s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 156 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 78%|███████████████████████████████████████████████▉             | 157/200 [28:11<09:06, 12.71s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [28:21<08:17, 11.84s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 158 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 80%|████████████████████████████████████████████████▍            | 159/200 [28:34<08:25, 12.33s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [28:41<07:11, 10.80s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 160 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 80%|█████████████████████████████████████████████████            | 161/200 [29:01<08:39, 13.31s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [29:11<07:55, 12.51s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 162 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [29:23<07:31, 12.21s/it] 82%|██████████████████████████████████████████████████           | 164/200 [29:30<06:22, 10.63s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 164 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 82%|██████████████████████████████████████████████████▎          | 165/200 [29:31<04:35,  7.87s/it] 83%|██████████████████████████████████████████████████▋          | 166/200 [29:46<05:43, 10.09s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 166 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [29:56<05:30, 10.03s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [30:08<05:32, 10.38s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 168 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [30:24<06:13, 12.06s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [30:36<06:05, 12.19s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 170 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [30:49<06:02, 12.48s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [31:03<06:03, 12.99s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 172 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [31:16<05:45, 12.79s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [31:37<06:42, 15.49s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 174 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 88%|█████████████████████████████████████████████████████▍       | 175/200 [31:50<06:06, 14.65s/it] 88%|█████████████████████████████████████████████████████▋       | 176/200 [32:02<05:28, 13.71s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 176 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [32:14<05:03, 13.19s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [32:25<04:40, 12.76s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 178 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [32:36<04:17, 12.24s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [32:45<03:40, 11.04s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 180 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 90%|███████████████████████████████████████████████████████▏     | 181/200 [32:53<03:16, 10.34s/it] 91%|███████████████████████████████████████████████████████▌     | 182/200 [33:02<02:58,  9.90s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 182 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [33:12<02:45,  9.73s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [33:23<02:44, 10.29s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 184 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [33:31<02:24,  9.64s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [33:39<02:07,  9.14s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 186 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 94%|█████████████████████████████████████████████████████████    | 187/200 [33:48<01:56,  8.94s/it] 94%|█████████████████████████████████████████████████████████▎   | 188/200 [33:59<01:54,  9.52s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 188 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [34:09<01:47,  9.79s/it] 95%|█████████████████████████████████████████████████████████▉   | 190/200 [34:17<01:32,  9.23s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 190 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 96%|██████████████████████████████████████████████████████████▎  | 191/200 [34:24<01:15,  8.43s/it] 96%|██████████████████████████████████████████████████████████▌  | 192/200 [34:40<01:27, 10.94s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 192 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [34:48<01:09,  9.97s/it] 97%|███████████████████████████████████████████████████████████▏ | 194/200 [34:59<01:01, 10.19s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 194 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 98%|███████████████████████████████████████████████████████████▍ | 195/200 [35:09<00:50, 10.07s/it] 98%|███████████████████████████████████████████████████████████▊ | 196/200 [35:17<00:38,  9.58s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 196 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
 98%|████████████████████████████████████████████████████████████ | 197/200 [35:29<00:30, 10.28s/it] 99%|████████████████████████████████████████████████████████████▍| 198/200 [35:41<00:21, 10.93s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 198 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
100%|████████████████████████████████████████████████████████████▋| 199/200 [35:54<00:11, 11.59s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [36:04<00:00, 10.89s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [36:04<00:00, 10.82s/it]
Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Finance | Saving 200 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Finance.json
Process ID: [2421856] | Exit
Process ID: [2421856] | Loading data from ./prompt_response/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 0 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
  0%|▎                                                              | 1/200 [00:08<27:17,  8.23s/it]  1%|▋                                                              | 2/200 [00:18<30:55,  9.37s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 2 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
  2%|▉                                                              | 3/200 [00:27<30:37,  9.33s/it]  2%|█▎                                                             | 4/200 [00:38<31:52,  9.76s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 4 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
  2%|█▌                                                             | 5/200 [00:49<33:11, 10.21s/it]  3%|█▉                                                             | 6/200 [01:00<33:58, 10.51s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 6 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
  4%|██▏                                                            | 7/200 [01:17<41:21, 12.86s/it]  4%|██▌                                                            | 8/200 [01:39<50:13, 15.70s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 8 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
  4%|██▊                                                            | 9/200 [01:54<49:05, 15.42s/it]  5%|███                                                           | 10/200 [02:11<50:38, 15.99s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 10 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
  6%|███▍                                                          | 11/200 [02:18<41:37, 13.21s/it]  6%|███▋                                                          | 12/200 [02:29<38:52, 12.41s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 12 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
  6%|████                                                          | 13/200 [02:40<37:25, 12.01s/it]  7%|████▎                                                         | 14/200 [02:50<35:25, 11.43s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 14 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
  8%|████▋                                                         | 15/200 [03:11<44:10, 14.33s/it]  8%|████▉                                                         | 16/200 [03:24<43:07, 14.06s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 16 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
  8%|█████▎                                                        | 17/200 [03:36<40:42, 13.35s/it]  9%|█████▌                                                        | 18/200 [03:44<35:21, 11.66s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 18 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 10%|█████▉                                                        | 19/200 [04:01<39:55, 13.24s/it] 10%|██████▏                                                       | 20/200 [04:08<34:23, 11.47s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 20 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 10%|██████▌                                                       | 21/200 [04:17<31:33, 10.58s/it] 11%|██████▊                                                       | 22/200 [04:40<42:28, 14.32s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 22 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 12%|███████▏                                                      | 23/200 [04:49<38:08, 12.93s/it] 12%|███████▍                                                      | 24/200 [04:59<35:06, 11.97s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 24 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 12%|███████▊                                                      | 25/200 [05:05<29:57, 10.27s/it] 13%|████████                                                      | 26/200 [05:16<30:02, 10.36s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 26 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 14%|████████▎                                                     | 27/200 [05:27<30:12, 10.48s/it] 14%|████████▋                                                     | 28/200 [05:47<38:33, 13.45s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 28 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 14%|████████▉                                                     | 29/200 [06:03<40:32, 14.22s/it] 15%|█████████▎                                                    | 30/200 [06:20<42:20, 14.94s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 30 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 16%|█████████▌                                                    | 31/200 [06:32<39:50, 14.15s/it] 16%|█████████▉                                                    | 32/200 [06:40<34:36, 12.36s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 32 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 16%|██████████▏                                                   | 33/200 [06:52<33:47, 12.14s/it] 17%|██████████▌                                                   | 34/200 [07:06<34:54, 12.62s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 34 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 18%|██████████▊                                                   | 35/200 [07:14<31:26, 11.43s/it] 18%|███████████▏                                                  | 36/200 [07:27<32:15, 11.80s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 36 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 18%|███████████▍                                                  | 37/200 [07:50<41:01, 15.10s/it] 19%|███████████▊                                                  | 38/200 [07:57<34:35, 12.81s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 38 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 20%|████████████                                                  | 39/200 [08:11<35:35, 13.26s/it] 20%|████████████▍                                                 | 40/200 [08:22<32:54, 12.34s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 40 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 20%|████████████▋                                                 | 41/200 [08:36<34:21, 12.97s/it] 21%|█████████████                                                 | 42/200 [08:50<34:44, 13.19s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 42 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 22%|█████████████▎                                                | 43/200 [09:03<34:38, 13.24s/it] 22%|█████████████▋                                                | 44/200 [09:14<32:45, 12.60s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 44 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 22%|█████████████▉                                                | 45/200 [09:22<28:41, 11.10s/it] 23%|██████████████▎                                               | 46/200 [09:38<32:30, 12.66s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 46 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 24%|██████████████▌                                               | 47/200 [09:50<31:50, 12.49s/it] 24%|██████████████▉                                               | 48/200 [10:07<35:01, 13.82s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 48 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 24%|███████████████▏                                              | 49/200 [10:16<31:04, 12.35s/it] 25%|███████████████▌                                              | 50/200 [10:34<35:04, 14.03s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 50 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 26%|███████████████▊                                              | 51/200 [10:53<38:17, 15.42s/it] 26%|████████████████                                              | 52/200 [11:00<32:11, 13.05s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 52 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 26%|████████████████▍                                             | 53/200 [11:24<39:59, 16.32s/it] 27%|████████████████▋                                             | 54/200 [11:37<37:25, 15.38s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 54 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 28%|█████████████████                                             | 55/200 [11:55<38:48, 16.06s/it] 28%|█████████████████▎                                            | 56/200 [12:05<34:03, 14.19s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 56 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 28%|█████████████████▋                                            | 57/200 [12:20<34:22, 14.42s/it] 29%|█████████████████▉                                            | 58/200 [12:29<30:18, 12.81s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 58 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 30%|██████████████████▎                                           | 59/200 [12:45<32:13, 13.71s/it] 30%|██████████████████▌                                           | 60/200 [12:59<32:12, 13.80s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 60 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 30%|██████████████████▉                                           | 61/200 [13:08<28:32, 12.32s/it] 31%|███████████████████▏                                          | 62/200 [13:18<27:10, 11.82s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 62 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 32%|███████████████████▌                                          | 63/200 [13:26<23:59, 10.51s/it] 32%|███████████████████▊                                          | 64/200 [13:36<23:23, 10.32s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 64 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 32%|████████████████████▏                                         | 65/200 [13:52<27:34, 12.26s/it] 33%|████████████████████▍                                         | 66/200 [14:09<30:01, 13.44s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 66 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 34%|████████████████████▊                                         | 67/200 [14:23<30:30, 13.76s/it] 34%|█████████████████████                                         | 68/200 [14:30<25:57, 11.80s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 68 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 34%|█████████████████████▍                                        | 69/200 [14:51<31:46, 14.55s/it] 35%|█████████████████████▋                                        | 70/200 [15:04<30:08, 13.91s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 70 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 36%|██████████████████████                                        | 71/200 [15:14<27:45, 12.91s/it] 36%|██████████████████████▎                                       | 72/200 [15:24<25:45, 12.07s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 72 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 36%|██████████████████████▋                                       | 73/200 [15:32<22:37, 10.69s/it] 37%|██████████████████████▉                                       | 74/200 [15:43<22:38, 10.78s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 74 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 38%|███████████████████████▎                                      | 75/200 [15:51<20:57, 10.06s/it] 38%|███████████████████████▌                                      | 76/200 [15:59<19:31,  9.45s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 76 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 38%|███████████████████████▊                                      | 77/200 [16:18<24:53, 12.14s/it] 39%|████████████████████████▏                                     | 78/200 [16:35<28:07, 13.83s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 78 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 40%|████████████████████████▍                                     | 79/200 [16:45<25:06, 12.45s/it] 40%|████████████████████████▊                                     | 80/200 [17:05<29:44, 14.87s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 80 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 40%|█████████████████████████                                     | 81/200 [17:19<28:55, 14.59s/it] 41%|█████████████████████████▍                                    | 82/200 [17:26<24:21, 12.38s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 82 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 42%|█████████████████████████▋                                    | 83/200 [17:37<23:18, 11.96s/it] 42%|██████████████████████████                                    | 84/200 [17:48<22:22, 11.57s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 84 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 42%|██████████████████████████▎                                   | 85/200 [18:01<23:16, 12.14s/it] 43%|██████████████████████████▋                                   | 86/200 [18:10<21:03, 11.09s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 86 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 44%|██████████████████████████▉                                   | 87/200 [18:20<20:11, 10.72s/it] 44%|███████████████████████████▎                                  | 88/200 [18:32<21:02, 11.27s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 88 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 44%|███████████████████████████▌                                  | 89/200 [18:44<20:47, 11.24s/it] 45%|███████████████████████████▉                                  | 90/200 [18:54<20:12, 11.02s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 90 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 46%|████████████████████████████▏                                 | 91/200 [19:03<19:06, 10.52s/it] 46%|████████████████████████████▌                                 | 92/200 [19:18<21:09, 11.76s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 92 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 46%|████████████████████████████▊                                 | 93/200 [19:31<21:35, 12.10s/it] 47%|█████████████████████████████▏                                | 94/200 [19:44<21:45, 12.31s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 94 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 48%|█████████████████████████████▍                                | 95/200 [19:53<20:03, 11.46s/it] 48%|█████████████████████████████▊                                | 96/200 [20:07<20:48, 12.00s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 96 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
 48%|██████████████████████████████                                | 97/200 [20:20<21:22, 12.46s/it] 49%|██████████████████████████████▍                               | 98/200 [20:36<22:54, 13.48s/it]Process ID: [2421856] | Model: llama-2-7b-chat-hf | File: Science | Saving 98 items to ./fact/prompt_improvement/model_detailed/llama-2-7b-chat-hf/Science.json
