Process ID: [2342247] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./ir_response_pure/response-10/llama-2-7b-chat-hf
    save_dir: ./fact/response-10/llama-2-7b-chat-hf
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2342247] | Loading data from ./ir_response_pure/response-10/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 0 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:10<34:20, 10.35s/it]  1%|▋                                                              | 2/200 [00:17<27:20,  8.28s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 2 items to ./fact/response-10/llama-2-7b-chat-hf/Bio-Medical.json
 72%|████████████████████████████████████████████▏                | 145/200 [18:10<08:12,  8.95s/it] 73%|████████████████████████████████████████████▌                | 146/200 [18:18<07:46,  8.65s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 146 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 74%|████████████████████████████████████████████▊                | 147/200 [18:22<06:25,  7.28s/it] 74%|█████████████████████████████████████████████▏               | 148/200 [18:29<06:23,  7.37s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 148 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 74%|█████████████████████████████████████████████▍               | 149/200 [18:35<05:50,  6.87s/it] 75%|█████████████████████████████████████████████▊               | 150/200 [18:42<05:38,  6.77s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 150 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 76%|██████████████████████████████████████████████               | 151/200 [18:45<04:44,  5.81s/it] 76%|██████████████████████████████████████████████▎              | 152/200 [18:51<04:37,  5.79s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 152 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 76%|██████████████████████████████████████████████▋              | 153/200 [19:02<05:52,  7.50s/it] 77%|██████████████████████████████████████████████▉              | 154/200 [19:08<05:13,  6.82s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 154 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 78%|███████████████████████████████████████████████▎             | 155/200 [19:13<04:43,  6.30s/it] 78%|███████████████████████████████████████████████▌             | 156/200 [19:19<04:30,  6.15s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 156 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 78%|███████████████████████████████████████████████▉             | 157/200 [19:26<04:48,  6.70s/it] 79%|████████████████████████████████████████████████▏            | 158/200 [19:29<03:43,  5.32s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 158 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 80%|████████████████████████████████████████████████▍            | 159/200 [19:35<03:52,  5.68s/it] 80%|████████████████████████████████████████████████▊            | 160/200 [19:43<04:15,  6.38s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 160 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 80%|█████████████████████████████████████████████████            | 161/200 [19:49<03:58,  6.10s/it] 81%|█████████████████████████████████████████████████▍           | 162/200 [19:56<04:07,  6.51s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 162 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 82%|█████████████████████████████████████████████████▋           | 163/200 [20:02<03:53,  6.30s/it] 82%|██████████████████████████████████████████████████           | 164/200 [20:10<04:06,  6.84s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 164 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 82%|██████████████████████████████████████████████████▎          | 165/200 [20:17<03:57,  6.78s/it] 83%|██████████████████████████████████████████████████▋          | 166/200 [20:22<03:38,  6.43s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 166 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 84%|██████████████████████████████████████████████████▉          | 167/200 [20:28<03:29,  6.34s/it] 84%|███████████████████████████████████████████████████▏         | 168/200 [20:33<03:05,  5.80s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 168 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 84%|███████████████████████████████████████████████████▌         | 169/200 [20:38<02:56,  5.70s/it] 85%|███████████████████████████████████████████████████▊         | 170/200 [20:46<03:12,  6.40s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 170 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 86%|████████████████████████████████████████████████████▏        | 171/200 [20:53<03:07,  6.47s/it] 86%|████████████████████████████████████████████████████▍        | 172/200 [21:04<03:35,  7.70s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 172 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 86%|████████████████████████████████████████████████████▊        | 173/200 [21:13<03:40,  8.15s/it] 87%|█████████████████████████████████████████████████████        | 174/200 [21:17<03:03,  7.04s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 174 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 88%|█████████████████████████████████████████████████████▍       | 175/200 [21:24<02:52,  6.91s/it] 88%|█████████████████████████████████████████████████████▋       | 176/200 [21:34<03:07,  7.82s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 176 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 88%|█████████████████████████████████████████████████████▉       | 177/200 [21:38<02:37,  6.84s/it] 89%|██████████████████████████████████████████████████████▎      | 178/200 [21:45<02:31,  6.89s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 178 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 90%|██████████████████████████████████████████████████████▌      | 179/200 [21:55<02:42,  7.74s/it] 90%|██████████████████████████████████████████████████████▉      | 180/200 [22:03<02:35,  7.75s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 180 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 90%|███████████████████████████████████████████████████████▏     | 181/200 [22:04<01:50,  5.82s/it] 91%|███████████████████████████████████████████████████████▌     | 182/200 [22:10<01:44,  5.83s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 182 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 92%|███████████████████████████████████████████████████████▊     | 183/200 [22:16<01:38,  5.79s/it] 92%|████████████████████████████████████████████████████████     | 184/200 [22:22<01:36,  6.03s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 184 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 92%|████████████████████████████████████████████████████████▍    | 185/200 [22:31<01:43,  6.91s/it] 93%|████████████████████████████████████████████████████████▋    | 186/200 [22:37<01:32,  6.59s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 186 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 94%|█████████████████████████████████████████████████████████    | 187/200 [22:43<01:22,  6.37s/it] 94%|█████████████████████████████████████████████████████████▎   | 188/200 [22:57<01:44,  8.72s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 188 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 94%|█████████████████████████████████████████████████████████▋   | 189/200 [23:01<01:20,  7.28s/it] 95%|█████████████████████████████████████████████████████████▉   | 190/200 [23:04<00:59,  5.96s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 190 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 96%|██████████████████████████████████████████████████████████▎  | 191/200 [23:11<00:55,  6.21s/it] 96%|██████████████████████████████████████████████████████████▌  | 192/200 [23:17<00:50,  6.26s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 192 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 96%|██████████████████████████████████████████████████████████▊  | 193/200 [23:23<00:42,  6.04s/it] 97%|███████████████████████████████████████████████████████████▏ | 194/200 [23:27<00:33,  5.54s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 194 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 98%|███████████████████████████████████████████████████████████▍ | 195/200 [23:32<00:26,  5.38s/it] 98%|███████████████████████████████████████████████████████████▊ | 196/200 [23:39<00:23,  5.94s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 196 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
 98%|████████████████████████████████████████████████████████████ | 197/200 [23:44<00:17,  5.67s/it] 99%|████████████████████████████████████████████████████████████▍| 198/200 [23:51<00:12,  6.10s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 198 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
100%|████████████████████████████████████████████████████████████▋| 199/200 [24:01<00:07,  7.02s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [24:06<00:00,  6.60s/it]100%|█████████████████████████████████████████████████████████████| 200/200 [24:06<00:00,  7.23s/it]
Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Finance | Saving 200 items to ./fact/response-10/llama-2-7b-chat-hf/Finance.json
Process ID: [2342247] | Exit
Process ID: [2342247] | Loading data from ./ir_response_pure/response-10/llama-2-7b-chat-hf/Science.json | Total 200
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 0 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
  0%|▎                                                              | 1/200 [00:02<09:35,  2.89s/it]  1%|▋                                                              | 2/200 [00:08<15:19,  4.64s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 2 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
  2%|▉                                                              | 3/200 [00:15<18:16,  5.56s/it]  2%|█▎                                                             | 4/200 [00:29<28:47,  8.81s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 4 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
  2%|█▌                                                             | 5/200 [00:34<24:46,  7.62s/it]  3%|█▉                                                             | 6/200 [00:52<35:46, 11.06s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 6 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
  4%|██▏                                                            | 7/200 [01:03<35:37, 11.07s/it]  4%|██▌                                                            | 8/200 [01:10<31:18,  9.78s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 8 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
  4%|██▊                                                            | 9/200 [01:15<25:54,  8.14s/it]  5%|███                                                           | 10/200 [01:26<28:36,  9.04s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 10 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
  6%|███▍                                                          | 11/200 [01:38<31:42, 10.06s/it]  6%|███▋                                                          | 12/200 [01:46<29:44,  9.49s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 12 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
  6%|████                                                          | 13/200 [01:48<21:50,  7.01s/it]  7%|████▎                                                         | 14/200 [01:57<24:28,  7.90s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 14 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
  8%|████▋                                                         | 15/200 [02:07<26:07,  8.47s/it]  8%|████▉                                                         | 16/200 [02:16<26:12,  8.55s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 16 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
  8%|█████▎                                                        | 17/200 [02:23<24:56,  8.18s/it]  9%|█████▌                                                        | 18/200 [02:29<22:49,  7.52s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 18 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 10%|█████▉                                                        | 19/200 [02:41<26:43,  8.86s/it] 10%|██████▏                                                       | 20/200 [02:51<27:31,  9.18s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 20 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 10%|██████▌                                                       | 21/200 [03:03<29:49, 10.00s/it] 11%|██████▊                                                       | 22/200 [03:09<26:24,  8.90s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 22 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 12%|███████▏                                                      | 23/200 [03:21<28:26,  9.64s/it] 12%|███████▍                                                      | 24/200 [03:29<26:37,  9.08s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 24 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 12%|███████▊                                                      | 25/200 [03:34<23:37,  8.10s/it] 13%|████████                                                      | 26/200 [03:43<24:10,  8.34s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 26 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 14%|████████▎                                                     | 27/200 [03:50<22:34,  7.83s/it] 14%|████████▋                                                     | 28/200 [03:51<16:35,  5.79s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 28 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 14%|████████▉                                                     | 29/200 [04:02<21:06,  7.41s/it] 15%|█████████▎                                                    | 30/200 [04:17<27:22,  9.66s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 30 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 16%|█████████▌                                                    | 31/200 [04:19<20:30,  7.28s/it] 16%|█████████▉                                                    | 32/200 [04:24<18:43,  6.69s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 32 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 16%|██████████▏                                                   | 33/200 [04:37<23:23,  8.40s/it] 17%|██████████▌                                                   | 34/200 [04:46<23:52,  8.63s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 34 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 18%|██████████▊                                                   | 35/200 [04:51<21:17,  7.74s/it] 18%|███████████▏                                                  | 36/200 [05:04<25:30,  9.33s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 36 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 18%|███████████▍                                                  | 37/200 [05:11<22:58,  8.46s/it] 19%|███████████▊                                                  | 38/200 [05:28<29:32, 10.94s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 38 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 20%|████████████                                                  | 39/200 [05:36<27:00, 10.07s/it] 20%|████████████▍                                                 | 40/200 [05:45<26:27,  9.92s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 40 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 20%|████████████▋                                                 | 41/200 [05:54<25:09,  9.49s/it] 21%|█████████████                                                 | 42/200 [06:03<24:35,  9.34s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 42 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 22%|█████████████▎                                                | 43/200 [06:08<21:24,  8.18s/it] 22%|█████████████▋                                                | 44/200 [06:15<20:23,  7.84s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 44 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 22%|█████████████▉                                                | 45/200 [06:23<19:56,  7.72s/it] 23%|██████████████▎                                               | 46/200 [06:29<18:42,  7.29s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 46 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 24%|██████████████▌                                               | 47/200 [06:36<18:05,  7.09s/it] 24%|██████████████▉                                               | 48/200 [06:46<20:39,  8.16s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 48 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 24%|███████████████▏                                              | 49/200 [06:57<22:24,  8.90s/it] 25%|███████████████▌                                              | 50/200 [07:03<20:26,  8.18s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 50 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 26%|███████████████▊                                              | 51/200 [07:11<20:15,  8.16s/it] 26%|████████████████                                              | 52/200 [07:17<18:06,  7.34s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 52 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 26%|████████████████▍                                             | 53/200 [07:18<13:09,  5.37s/it] 27%|████████████████▋                                             | 54/200 [07:23<13:10,  5.41s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 54 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 28%|█████████████████                                             | 55/200 [07:33<16:32,  6.85s/it] 28%|█████████████████▎                                            | 56/200 [07:40<16:37,  6.93s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 56 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 28%|█████████████████▋                                            | 57/200 [07:58<24:02, 10.09s/it] 29%|█████████████████▉                                            | 58/200 [07:59<17:19,  7.32s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 58 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 30%|██████████████████▎                                           | 59/200 [08:07<17:55,  7.63s/it] 30%|██████████████████▌                                           | 60/200 [08:14<17:35,  7.54s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 60 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 30%|██████████████████▉                                           | 61/200 [08:25<19:39,  8.49s/it] 31%|███████████████████▏                                          | 62/200 [08:32<18:30,  8.05s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 62 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 32%|███████████████████▌                                          | 63/200 [08:38<17:07,  7.50s/it] 32%|███████████████████▊                                          | 64/200 [08:47<17:53,  7.90s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 64 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 32%|████████████████████▏                                         | 65/200 [08:58<19:54,  8.85s/it] 33%|████████████████████▍                                         | 66/200 [09:09<20:58,  9.39s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 66 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 34%|████████████████████▊                                         | 67/200 [09:15<18:39,  8.41s/it] 34%|█████████████████████                                         | 68/200 [09:21<17:03,  7.76s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 68 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 34%|█████████████████████▍                                        | 69/200 [09:29<16:46,  7.68s/it] 35%|█████████████████████▋                                        | 70/200 [09:37<16:42,  7.71s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 70 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 36%|██████████████████████                                        | 71/200 [09:43<15:55,  7.41s/it] 36%|██████████████████████▎                                       | 72/200 [09:49<14:28,  6.78s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 72 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 36%|██████████████████████▋                                       | 73/200 [09:53<12:48,  6.05s/it] 37%|██████████████████████▉                                       | 74/200 [10:00<13:28,  6.41s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 74 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 38%|███████████████████████▎                                      | 75/200 [10:06<12:53,  6.18s/it] 38%|███████████████████████▌                                      | 76/200 [10:16<15:21,  7.43s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 76 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 38%|███████████████████████▊                                      | 77/200 [10:24<15:47,  7.70s/it] 39%|████████████████████████▏                                     | 78/200 [10:32<15:33,  7.65s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 78 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 40%|████████████████████████▍                                     | 79/200 [10:33<11:33,  5.73s/it] 40%|████████████████████████▊                                     | 80/200 [10:46<15:41,  7.85s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 80 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 40%|█████████████████████████                                     | 81/200 [11:00<19:22,  9.77s/it] 41%|█████████████████████████▍                                    | 82/200 [11:07<17:09,  8.72s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 82 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 42%|█████████████████████████▋                                    | 83/200 [11:15<16:54,  8.67s/it] 42%|██████████████████████████                                    | 84/200 [11:24<16:39,  8.62s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 84 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 42%|██████████████████████████▎                                   | 85/200 [11:36<18:53,  9.86s/it] 43%|██████████████████████████▋                                   | 86/200 [11:42<16:04,  8.46s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 86 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 44%|██████████████████████████▉                                   | 87/200 [11:53<17:33,  9.33s/it] 44%|███████████████████████████▎                                  | 88/200 [12:03<17:52,  9.58s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 88 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 44%|███████████████████████████▌                                  | 89/200 [12:09<15:48,  8.55s/it] 45%|███████████████████████████▉                                  | 90/200 [12:21<17:15,  9.41s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 90 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 46%|████████████████████████████▏                                 | 91/200 [12:33<18:34, 10.22s/it] 46%|████████████████████████████▌                                 | 92/200 [12:39<16:22,  9.10s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 92 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 46%|████████████████████████████▊                                 | 93/200 [12:48<15:48,  8.86s/it] 47%|█████████████████████████████▏                                | 94/200 [12:54<14:21,  8.13s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 94 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 48%|█████████████████████████████▍                                | 95/200 [13:06<16:04,  9.18s/it] 48%|█████████████████████████████▊                                | 96/200 [13:17<17:13,  9.94s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 96 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 48%|██████████████████████████████                                | 97/200 [13:19<12:42,  7.41s/it] 49%|██████████████████████████████▍                               | 98/200 [13:28<13:23,  7.88s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 98 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 50%|██████████████████████████████▋                               | 99/200 [13:36<13:12,  7.85s/it] 50%|██████████████████████████████▌                              | 100/200 [13:48<15:14,  9.14s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 100 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 50%|██████████████████████████████▊                              | 101/200 [13:59<16:00,  9.71s/it] 51%|███████████████████████████████                              | 102/200 [14:08<15:44,  9.64s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 102 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 52%|███████████████████████████████▍                             | 103/200 [14:18<15:34,  9.63s/it] 52%|███████████████████████████████▋                             | 104/200 [14:24<13:48,  8.63s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 104 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 52%|████████████████████████████████                             | 105/200 [14:30<12:23,  7.82s/it] 53%|████████████████████████████████▎                            | 106/200 [14:37<11:48,  7.54s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 106 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 54%|████████████████████████████████▋                            | 107/200 [14:42<10:34,  6.83s/it] 54%|████████████████████████████████▉                            | 108/200 [14:47<09:37,  6.27s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 108 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 55%|█████████████████████████████████▏                           | 109/200 [14:53<09:21,  6.17s/it] 55%|█████████████████████████████████▌                           | 110/200 [15:00<09:27,  6.31s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 110 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 56%|█████████████████████████████████▊                           | 111/200 [15:06<09:34,  6.45s/it] 56%|██████████████████████████████████▏                          | 112/200 [15:15<10:09,  6.92s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 112 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 56%|██████████████████████████████████▍                          | 113/200 [15:25<11:38,  8.03s/it] 57%|██████████████████████████████████▊                          | 114/200 [15:31<10:42,  7.47s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 114 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 57%|███████████████████████████████████                          | 115/200 [15:37<09:51,  6.96s/it] 58%|███████████████████████████████████▍                         | 116/200 [15:44<09:50,  7.04s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 116 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 58%|███████████████████████████████████▋                         | 117/200 [15:53<10:16,  7.43s/it] 59%|███████████████████████████████████▉                         | 118/200 [16:00<10:00,  7.32s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 118 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 60%|████████████████████████████████████▎                        | 119/200 [16:08<10:27,  7.75s/it] 60%|████████████████████████████████████▌                        | 120/200 [16:15<10:01,  7.52s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 120 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 60%|████████████████████████████████████▉                        | 121/200 [16:25<10:35,  8.05s/it] 61%|█████████████████████████████████████▏                       | 122/200 [16:31<09:52,  7.59s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 122 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
 62%|█████████████████████████████████████▌                       | 123/200 [16:41<10:39,  8.30s/it] 62%|█████████████████████████████████████▊                       | 124/200 [16:59<13:58, 11.04s/it]Process ID: [2342247] | Model: llama-2-7b-chat-hf | File: Science | Saving 124 items to ./fact/response-10/llama-2-7b-chat-hf/Science.json
